CBO,RFC,SLOC,LCOM,DIT,Output
2,19,28,41,0,Balance
33,15,195,0,0,Balance
74,17,406,62,0,Balance
10,22,25,66,1,Balance
8,19,32,33,0,Balance
9,19,46,66,0,Balance
24,23,78,21,1,Balance
4,18,22,80,0,Balance
29,81,131,0,2,precision
1,14,8,0,0,Balance
8,16,152,66,0,Balance
56,25,413,91,0,Balance
9,33,27,33,2,Balance
13,22,96,75,0,Balance
9,20,109,98,1,Balance
14,62,389,81,1,Fmes
9,67,1039,93,1,Balance
6,16,26,0,0,Balance
9,24,194,0,0,Balance
21,18,98,40,0,Accuracy
28,27,226,74,0,Balance
68,60,1276,96,2,Accuracy
1,65,7,0,2,Balance
6,94,25,100,2,Balance
5,16,14,33,1,Balance
0,85,5,0,3,Balance
7,19,27,37,0,Balance
20,70,40,66,2,precision
10,70,58,0,2,Balance
8,69,45,0,2,Balance
10,80,116,78,2,precision
26,83,636,0,2,Balance
1,51,11,50,0,Balance
4,34,21,75,2,Balance
9,31,37,50,1,Balance
7,42,43,37,3,Fmes
3,51,9,0,5,Balance
6,49,46,0,2,Accuracy
4,30,10,0,1,Balance
3,58,15,0,4,Balance
8,61,42,75,5,Balance
9,63,58,50,5,Balance
6,61,37,0,4,Accuracy
8,82,32,80,7,Balance
10,62,46,79,4,Balance
7,76,20,80,6,Balance
13,51,72,45,2,Balance
7,56,44,0,3,Accuracy
8,23,61,33,0,Balance
6,54,30,0,3,Balance
15,24,112,70,1,Balance
6,40,34,80,3,Fmes
8,35,72,80,2,Balance
23,44,422,84,1,Accuracy
14,75,122,25,2,precision
6,15,16,0,0,Balance
7,15,21,0,0,Balance
2,15,51,0,0,Balance
14,40,42,0,2,Balance
4,20,52,67,0,Balance
9,92,33,19,0,Gmean1
14,18,80,60,0,Balance
9,18,117,72,0,Balance
9,21,113,62,0,Balance
6,17,51,37,0,Balance
13,19,51,38,0,Balance
3,25,13,0,2,Balance
4,18,38,60,0,Balance
6,18,63,40,0,Balance
69,94,540,95,0,Accuracy
16,37,127,76,0,Gmean1
10,57,78,66,1,Accuracy
5,15,14,0,0,Balance
9,15,30,0,0,Balance
3,14,5,0,0,Balance
3,14,5,0,0,Balance
2,19,25,16,0,Balance
1,53,14,100,0,Balance
3,16,20,66,0,Balance
2,16,28,53,0,Balance
4,35,9,0,3,Balance
1,53,5,0,4,Balance
13,30,49,71,3,Balance
5,29,15,0,3,Accuracy
2,17,17,25,0,Balance
4,27,18,25,3,Balance
7,22,82,77,0,Balance
2,17,15,0,0,Balance
51,96,494,91,2,Balance
19,32,132,90,0,Gmean1
29,76,105,0,2,precision
12,35,31,0,3,Accuracy
15,75,175,31,2,precision
21,69,80,80,1,Balance
19,58,165,0,1,Accuracy
6,19,28,0,0,Balance
10,27,86,72,0,Balance
19,80,91,80,3,precision
3,15,8,0,0,Balance
13,26,106,92,0,Balance
5,16,118,0,0,Balance
14,21,75,0,0,Balance
6,21,122,0,0,Balance
2,14,11,0,0,Balance
31,50,412,97,0,Balance
7,16,26,0,0,Balance
19,25,106,91,0,Accuracy
11,31,205,94,0,Balance
6,32,12,0,1,Balance
8,20,96,66,0,Balance
1,14,4,0,1,Balance
8,16,26,16,0,Balance
23,19,383,91,0,Balance
25,21,148,72,0,Gmean1
25,31,181,72,0,Gmean1
11,83,72,71,2,Balance
3,15,12,75,0,Balance
26,104,174,75,3,Balance
3,18,22,53,0,Balance
7,78,15,0,3,Balance
16,17,104,43,0,Balance
4,20,30,0,0,Balance
3,24,40,0,0,Balance
1,16,1043,95,0,Balance
8,46,361,90,1,Balance
1,32,125,0,1,Balance
9,67,43,65,3,Fmes
4,88,17,25,0,Balance
2,14,5,0,0,Balance
8,19,48,33,1,Balance
13,90,234,0,3,Balance
10,68,52,0,2,Balance
14,98,348,95,2,precision
14,77,403,0,2,Balance
9,69,46,0,2,Balance
7,73,108,0,2,Accuracy
1,50,5,0,0,Balance
3,51,9,0,5,Balance
7,44,55,55,3,Balance
8,47,31,37,4,Balance
18,43,89,72,3,Balance
13,40,93,58,3,Balance
16,43,158,62,3,Balance
13,43,105,80,1,Balance
0,13,2,0,0,Balance
14,55,105,57,2,Balance
7,59,33,80,4,Balance
6,83,26,0,5,Balance
9,63,55,88,4,Balance
9,80,21,100,7,Balance
10,66,65,91,4,precision
10,80,27,75,7,Balance
5,54,29,83,3,Balance
10,17,30,0,0,Balance
10,61,45,0,5,Accuracy
6,40,77,80,3,Fmes
1,18,43,57,0,Balance
4,16,15,0,0,Balance
8,23,28,57,1,Balance
10,27,92,71,1,Balance
2,14,8,0,0,Balance
18,18,142,71,0,Balance
1,15,9,0,1,Balance
12,20,139,75,0,Balance
15,20,61,66,0,Balance
6,16,20,50,0,Balance
3,22,46,0,0,Balance
15,15,57,33,0,Balance
10,17,25,0,0,Balance
6,19,50,50,0,Balance
9,26,60,46,1,Balance
5,31,23,0,1,Balance
17,27,173,75,0,Balance
8,18,26,19,0,Balance
20,47,47,77,2,Balance
19,19,212,33,0,Balance
14,21,50,42,1,Balance
17,26,292,96,0,Accuracy
49,148,359,89,1,Balance
53,82,937,97,0,Balance
10,24,32,0,3,Gmean1
1,53,14,100,0,Balance
5,15,20,0,0,Balance
24,21,177,79,1,Balance
2,14,6,0,0,Balance
12,21,73,0,0,Balance
5,24,13,0,2,Balance
5,24,13,0,2,Balance
1,53,5,0,4,Balance
10,25,57,81,1,Balance
8,40,10,0,5,Accuracy
3,22,15,33,3,Gmean1
19,21,86,75,0,Gmean1
8,20,41,71,0,Balance
5,23,42,71,1,Balance
8,40,9,0,5,Balance
6,29,24,50,3,Balance
12,35,24,0,3,Accuracy
12,35,32,0,3,Accuracy
2,21,16,0,2,Balance
13,15,41,25,0,Balance
3,14,16,0,0,Balance
4,16,22,0,0,Balance
6,20,29,0,0,Balance
4,14,6,0,0,Balance
8,18,120,66,1,Balance
5,59,10,50,0,Balance
4,60,13,50,1,Balance
19,29,34,41,1,Balance
5,21,54,56,0,Balance
15,19,76,100,0,Balance
4,22,24,25,1,Balance
2,16,9,0,1,Balance
3,14,29,0,0,Balance
6,22,56,51,0,Balance
5,15,14,0,0,Balance
8,22,100,71,0,Balance
5,14,21,0,0,Balance
0,18,36,85,0,Balance
3,15,17,16,0,Balance
5,15,8,0,1,Balance
17,25,154,80,0,Balance
40,19,198,70,0,Balance
19,69,66,80,2,Balance
98,135,975,92,2,Accuracy
27,16,80,33,0,Balance
17,16,102,0,0,Balance
16,86,66,80,2,Balance
25,72,83,0,2,Balance
9,15,66,100,0,Balance
12,75,70,0,2,Balance
21,75,50,0,2,Balance
2,15,21,25,0,Balance
11,47,401,90,1,Balance
1,16,4450,96,0,Balance
6,75,460,87,1,Balance
17,101,2503,95,1,Accuracy
6,35,159,65,1,Balance
11,25,252,0,0,Balance
19,84,173,0,3,Balance
26,77,72,87,2,Balance
10,71,98,0,2,Balance
15,99,368,90,2,Fmes
18,79,400,0,2,Balance
18,70,197,0,2,Balance
18,69,52,50,2,Accuracy
32,77,343,0,2,Balance
11,70,71,0,2,Balance
21,69,60,0,3,precision
11,71,100,16,2,Balance
19,112,436,31,2,Balance
3,18,46,40,0,Balance
2,80,19,0,3,Balance
19,92,214,86,2,Balance
24,81,478,92,2,Balance
25,124,1826,92,2,Balance
9,23,107,77,0,Balance
8,30,56,50,1,Balance
4,57,20,0,4,Balance
3,48,9,0,4,Balance
13,47,47,50,4,Balance
17,33,83,75,1,Balance
3,48,9,0,4,Balance
8,61,42,0,5,Balance
3,52,15,0,3,Balance
12,84,46,0,5,precision
3,56,10,50,4,Accuracy
8,77,24,83,6,Balance
11,54,72,48,3,Accuracy
17,66,216,90,2,Balance
30,41,370,88,0,Balance
15,25,75,58,1,Accuracy
9,34,95,75,2,Accuracy
14,45,518,86,0,Balance
19,27,109,80,0,Balance
3,18,24,65,0,Balance
