CBO,RFC,SLOC,LCOM,DIT,Output
4,60,15,50,0,Balance
18,25,85,50,0,Balance
5,30,41,0,1,Balance
4,59,11,75,0,Balance
59,73,816,95,0,Balance
3,19,39,16,0,Balance
5,22,16,0,1,Balance
13,24,112,43,0,Balance
4,60,18,58,0,Balance
20,27,140,76,0,Balance
18,23,139,60,0,Balance
5,64,32,80,0,Balance
4,65,32,74,1,Gmean1
2,14,4,0,1,Balance
2,15,8,0,0,Balance
20,24,131,95,0,Balance
6,17,30,50,0,Balance
11,17,52,0,0,Balance
2,15,11,0,0,Balance
9,20,59,71,0,Balance
3,16,22,33,1,Balance
4,17,19,41,0,Balance
10,19,54,72,0,Balance
24,17,186,66,0,Accuracy
7,15,32,0,0,Balance
17,19,46,58,0,Balance
36,33,177,74,0,Gmean1
16,16,52,33,0,Balance
31,144,101,75,3,precision
12,17,59,0,0,Balance
23,103,109,57,3,Balance
12,21,26,60,1,Balance
38,17,984,87,0,Fmes
16,58,809,92,1,Balance
5,41,187,76,1,Balance
6,15,14,100,0,Balance
18,30,63,40,1,Accuracy
2,18,25,40,1,Balance
9,73,83,0,2,Accuracy
10,73,76,0,2,Accuracy
15,76,143,0,2,Balance
10,68,111,0,2,Accuracy
4,17,22,0,1,Balance
19,71,154,0,3,Accuracy
8,79,216,0,2,Balance
19,87,575,0,2,Accuracy
19,81,115,0,3,Balance
36,84,885,0,2,Accuracy
29,78,850,78,2,Balance
15,71,102,0,2,Balance
3,59,13,50,0,Balance
6,80,75,100,0,Balance
13,15,12,0,0,Accuracy
1,60,16,55,0,Balance
10,27,58,0,0,Balance
12,27,67,82,0,Accuracy
6,49,44,66,2,Balance
16,52,98,76,2,Balance
18,18,82,60,0,Balance
6,61,41,0,4,Accuracy
3,54,9,0,4,Balance
5,71,15,0,5,Balance
5,48,23,0,2,Accuracy
12,67,89,90,4,precision
5,61,31,0,4,Accuracy
7,57,52,75,3,precision
11,47,50,0,2,Balance
11,61,41,0,5,Balance
3,39,20,0,3,Balance
25,36,208,81,1,Accuracy
5,16,26,0,0,Balance
2,14,8,0,0,Balance
8,28,70,43,0,Balance
7,18,38,80,0,Balance
2,17,16,0,0,Balance
7,31,94,55,0,Balance
2,16,12,0,1,Balance
6,15,17,50,0,Balance
5,18,35,66,0,Balance
25,18,110,66,0,Accuracy
15,15,56,33,0,Accuracy
52,56,937,86,0,Fmes
7,22,34,55,0,Balance
5,22,26,25,1,Balance
12,44,311,64,0,Balance
1,16,15,33,0,Balance
20,47,51,77,2,Balance
9,22,26,33,1,Balance
15,29,210,70,0,Accuracy
9,27,13,0,2,Gmean1
10,24,32,0,4,Gmean1
19,21,88,0,1,Balance
19,34,21,0,1,Balance
9,23,33,0,3,Balance
14,54,237,61,0,Balance
4,16,21,16,0,Balance
2,19,10,0,2,Gmean1
5,24,13,0,2,Balance
35,76,229,0,1,precision
3,52,17,50,3,Balance
3,18,10,0,1,Balance
3,19,23,60,1,Balance
1,32,13,0,4,Accuracy
1,32,13,0,4,Accuracy
8,40,9,0,5,Accuracy
5,25,13,0,3,Accuracy
8,23,25,40,2,Balance
2,17,30,12,0,Balance
2,17,15,33,1,Balance
4,21,57,37,0,Balance
13,26,99,85,0,Balance
55,60,338,92,1,Accuracy
25,22,154,85,0,Balance
4,63,27,72,1,Balance
1,53,14,100,0,Balance
4,20,29,0,0,Balance
8,19,52,66,0,Balance
1,14,6,0,0,Balance
2,18,6,0,1,Balance
20,20,100,55,0,Balance
6,46,186,100,1,Balance
4,16,16,33,0,Balance
12,18,28,80,0,Accuracy
6,16,33,0,0,Balance
9,15,22,0,1,Balance
4,15,17,100,0,Balance
9,74,31,0,2,Balance
7,16,20,0,0,Balance
13,17,261,55,0,Balance
12,15,68,50,0,Accuracy
