CBO,SLOC,LCOM,DIT,Output
16,67,25,1,Balance
6,7,0,0,Balance
26,174,53,0,Balance
11,107,40,0,Fmes
12,27,0,0,Balance
2,14,66,0,Accuracy
10,26,0,1,Balance
9,25,0,0,Balance
15,25,41,1,Balance
11,39,0,0,Balance
19,69,74,1,Balance
3,5,0,0,Balance
7,57,65,0,Balance
23,75,33,1,Gmes
38,131,33,0,Balance
6,20,0,1,Balance
23,119,42,0,Balance
54,306,91,0,Balance
18,24,50,0,Balance
13,18,0,0,Balance
18,735,0,0,Balance
20,67,80,1,Balance
13,72,0,0,Balance
7,75,63,0,Balance
12,53,70,0,Gmean1
2,5,0,0,Balance
10,69,77,0,Fmes
10,115,0,0,Balance
10,160,0,0,Balance
2,11,25,0,Balance
1,10,0,0,Balance
9,20,0,0,Balance
4,7,0,0,Balance
4,12,0,0,Balance
26,799,94,0,Balance
1,12,0,0,Balance
8,45,40,0,Fmes
12,53,0,0,Balance
2,7,100,0,Balance
9,50,64,0,Balance
6,13,50,0,Balance
3,73,0,0,Balance
11,138,0,1,Balance
8,39,0,0,Balance
6,22,0,0,Balance
6,29,0,0,Balance
19,57,41,0,Balance
1,5,0,0,Balance
48,1038,91,0,Balance
9,43,83,1,Fmes
13,40,9,0,Balance
6,13,0,1,Balance
1,7,0,0,Balance
10,20,12,0,Balance
44,875,84,0,Balance
18,172,72,0,Gmes
3,10,0,0,Balance
3,10,0,0,Balance
3,8,0,1,Balance
5,13,0,0,Balance
16,236,53,0,Accuracy
4,91,0,0,Balance
5,56,0,0,Balance
6,29,68,0,Balance
20,106,62,0,Balance
11,132,65,0,Balance
15,70,66,1,Balance
4,33,55,0,Balance
2,14,0,0,Balance
3,6,0,0,Balance
3,7,0,0,Balance
6,70,75,0,Balance
2,6,0,0,Balance
4,12,0,0,Balance
10,140,50,0,Balance
2,24,0,1,Balance
1,8,0,0,Balance
4,45,75,0,Accuracy
21,167,58,0,Accuracy
32,69,0,1,Balance
9,10,0,0,Balance
5,9,0,0,Balance
12,62,43,0,Balance
6,25,0,0,Balance
5,18,0,1,Balance
2,5,0,1,Balance
2,7,100,0,Balance
16,30,0,1,Balance
10,37,40,0,Balance
2,13,0,0,Balance
9,50,64,0,Balance
37,342,86,1,Balance
5,21,0,0,Balance
11,17,0,0,Fmes
10,19,0,0,Balance
10,19,0,0,Balance
7,9,0,0,Balance
4,10,0,0,Balance
32,156,90,0,Precision
18,44,72,0,Precision
3,11,0,0,Balance
5,21,0,0,Balance
7,17,0,0,Balance
3,21,100,0,Balance
13,73,0,0,Balance
6,46,0,1,Balance
9,24,0,0,Balance
10,45,29,0,Balance
7,24,0,0,Balance
12,40,0,0,Balance
12,31,80,0,Balance
30,104,0,0,Fmes
7,16,50,1,Balance
8,10,0,1,Balance
12,61,66,0,Accuracy
8,27,0,0,Balance
40,386,85,0,Balance
17,147,46,0,Balance
5,15,0,0,Balance
14,34,0,0,Fmes
7,17,0,0,Balance
6,36,0,0,Balance
8,17,0,0,Balance
15,65,0,0,Balance
3,5,0,0,Balance
12,68,71,0,Balance
9,12,0,0,Balance
14,62,25,0,Balance
25,151,89,0,Precision
14,98,80,1,Balance
8,58,88,0,Balance
9,158,33,0,Balance
12,30,0,1,Fmes
26,83,22,1,Fmes
3,15,0,0,Balance
4,23,0,1,Balance
6,26,50,1,Fmes
5,21,33,1,Fmes
6,75,40,0,Fmes
7,29,9,0,Balance
7,30,9,0,Balance
5,191,66,0,Balance
2,8,0,0,Balance
10,12,0,0,Balance
2,51,66,0,Balance
5,12,0,0,Balance
5,43,44,0,Fmes
5,45,71,0,Fmes
7,13,0,1,Balance
6,17,62,0,Fmes
23,88,75,0,Precision
4,12,0,1,Balance
5,30,0,0,Balance
2,11,0,0,Balance
1,5,0,0,Balance
44,588,0,0,Fmes
35,251,85,0,Balance
9,87,0,0,Balance
2,66,0,0,Balance
7,307,0,0,Balance
10,36,85,1,Balance
9,37,83,1,Gmes
16,147,84,0,Balance
4,12,50,0,Balance
7,10,0,1,Balance
10,30,0,0,Balance
3,33,0,0,Balance
2,16,0,0,Balance
7,58,0,0,Balance
19,534,0,0,Fmes
9,41,0,0,Balance
1,9,0,0,Balance
1,5,0,0,Balance
8,20,0,0,Balance
14,22,33,1,Balance
5,51,40,0,Balance
3,21,0,0,Balance
3,6,0,0,Balance
2,32,0,0,Balance
2,14,0,0,Balance
10,263,70,1,Balance
4,34,0,0,Balance
4,11,0,1,Balance
4,9,0,0,Balance
3,17,0,0,Balance
38,275,60,1,Balance
16,97,76,0,Balance
24,289,77,0,Balance
5,8,0,0,Balance
10,14,0,0,Balance
5,18,0,1,Balance
52,436,84,0,Balance
8,12,0,1,Balance
11,14,0,1,Balance
11,14,0,1,Balance
7,100,72,0,Balance
1,60,0,0,Balance
5,7,0,0,Balance
5,12,0,0,Balance
8,16,0,0,Balance
4,10,0,0,Balance
9,17,0,0,Balance
15,24,0,0,Balance
3,9,0,0,Balance
3,9,0,0,Balance
6,9,0,0,Balance
9,9,0,0,Balance
5,14,0,0,Balance
12,17,0,1,Balance
11,23,0,0,Balance
16,30,0,0,Balance
8,54,53,0,Balance
4,25,0,0,Balance
39,283,64,0,Balance
3,10,0,0,Balance
5,80,68,0,Fmes
19,320,46,0,Gmean1
18,136,62,0,Balance
29,234,66,0,Balance
10,23,0,0,Balance
13,27,0,0,Balance
2,16,0,0,Balance
37,339,75,0,Balance
6,12,0,0,Balance
11,39,37,0,Fmes
4,30,0,0,Balance
10,81,0,0,Balance
18,90,66,0,Balance
8,22,33,0,Fmes
24,73,80,0,Balance
34,223,89,0,Balance
24,70,80,0,Precision
14,36,25,0,Accuracy
5,13,0,0,Balance
8,45,66,0,Balance
13,90,66,0,Gmes
9,21,0,0,Balance
11,110,70,1,Fmes
14,30,77,0,Balance
8,32,9,0,Balance
9,49,33,0,Fmes
5,29,0,0,Balance
4,22,0,0,Balance
6,24,0,0,Balance
6,51,0,0,Balance
2,30,0,0,Balance
8,8,0,0,Balance
3,55,55,0,Precision
13,88,70,0,Balance
21,123,0,0,Balance
7,22,0,0,Balance
5,13,0,1,Balance
9,87,70,0,Balance
10,28,0,0,Balance
1,18,0,0,Balance
24,179,90,0,Balance
11,137,0,0,Balance
5,48,75,0,Balance
1,8,0,1,Balance
4,37,50,0,Precision
4,23,0,0,Balance
5,11,0,0,Balance
7,16,0,2,Gmean2
3,17,0,0,Balance
3,11,0,1,Balance
10,36,85,1,Fmes
6,13,0,0,Balance
3,5,0,0,Balance
31,123,58,1,Balance
31,150,80,1,Balance
11,31,37,0,Fmes
9,24,0,0,Balance
3,23,0,0,Balance
4,22,0,0,Balance
9,90,25,0,Fmes
5,209,79,0,Balance
3,100,0,0,Balance
9,24,0,0,Balance
14,98,66,1,Balance
20,44,55,2,Balance
4,13,0,0,Balance
2,10,0,0,Balance
25,177,57,0,Balance
21,87,0,1,Fmes
2,14,0,0,Balance
2,14,0,0,Balance
3,8,0,0,Balance
3,6,0,0,Balance
2,14,0,0,Balance
2,26,0,1,Balance
2,6,0,0,Balance
2,17,37,0,Fmes
11,80,14,0,Balance
2,66,0,0,Balance
33,81,0,1,Balance
12,34,22,1,Balance
18,71,45,0,Accuracy
4,18,0,0,Balance
18,98,82,0,Balance
25,117,77,1,Precision
22,97,81,1,Precision
12,24,66,0,Balance
14,38,33,1,Balance
5,9,0,1,Balance
7,24,0,0,Balance
4,13,0,0,Balance
7,26,0,0,Balance
17,44,50,1,Balance
4,10,0,0,Balance
13,17,0,0,Fmes
2,100,88,0,Balance
9,22,50,0,Balance
8,48,74,0,Balance
14,30,0,0,Balance
18,88,37,1,Balance
10,29,80,0,Fmes
4,17,0,0,Balance
6,18,0,0,Balance
6,13,0,1,Balance
14,208,86,0,Balance
7,10,0,1,Balance
11,15,0,1,Balance
6,11,0,1,Balance
45,517,73,0,Balance
8,35,33,0,Fmes
3,9,0,0,Balance
20,149,53,0,Balance
38,191,50,0,Balance
11,27,0,1,Balance
10,25,0,0,Balance
24,194,80,0,Balance
15,41,0,0,Fmes
9,12,0,0,Balance
15,23,0,0,Fmes
17,72,0,0,Fmes
17,48,50,0,Fmes
19,89,77,0,Balance
40,349,88,0,Balance
27,65,85,0,Balance
24,160,84,0,Balance
8,63,61,0,Balance
6,35,19,0,Balance
34,138,75,1,Balance
15,331,95,0,Balance
1,22,58,0,Balance
49,283,75,1,Balance
14,39,75,1,Fmes
10,267,0,0,Balance
4,16,0,0,Balance
1,979,90,0,Fmes
10,25,40,0,Gmes
6,11,0,0,Balance
6,28,0,0,Balance
6,38,0,0,Balance
6,19,0,0,Balance
11,41,46,0,Balance
10,44,57,0,Balance
5,18,33,0,Fmes
6,35,71,1,Balance
4,14,0,0,Balance
4,18,0,0,Balance
1,14,0,0,Balance
9,37,66,0,Balance
7,150,93,0,Fmes
3,79,68,0,Fmes
4,23,0,0,Balance
2,17,25,0,Fmes
5,46,77,0,Balance
11,50,0,0,Balance
10,36,85,1,Balance
10,63,0,0,Balance
9,65,78,0,Fmes
10,50,0,0,Fmes
3,83,89,0,Fmes
2,6,0,0,Balance
9,19,0,0,Balance
5,48,0,0,Balance
8,28,0,0,Balance
15,30,0,0,Balance
12,189,83,0,Balance
8,239,0,0,Balance
4,189,66,0,Precision
1,9,0,0,Balance
23,139,63,0,Balance
30,180,84,0,Balance
3,29,0,0,Balance
2,33,0,0,Balance
2,26,0,0,Balance
21,162,62,0,Fmes
9,31,44,1,Precision
7,12,0,0,Balance
5,18,0,1,Balance
30,134,70,0,Balance
16,23,0,1,Balance
13,21,0,1,Balance
3,5,0,0,Balance
9,30,0,0,Balance
10,33,0,0,Balance
23,90,65,0,Fmes
5,7,0,0,Balance
0,34,30,0,Balance
16,58,58,0,Balance
10,24,33,0,Gmean1
6,29,53,0,Balance
3,11,0,0,Balance
7,31,0,0,Balance
14,65,22,0,Balance
29,101,75,0,Gmes
21,101,33,0,Fmes
35,237,81,0,Precision
13,113,0,0,Balance
4,13,0,0,Balance
7,30,0,0,Balance
80,1005,92,0,Balance
4,7,0,0,Balance
149,1670,96,0,Balance
7,10,0,1,Balance
17,43,0,1,Balance
27,83,56,0,Gmean1
21,86,53,0,Fmes
7,11,0,0,Balance
8,13,0,0,Balance
39,601,51,0,Balance
5,60,50,0,Balance
3,32,44,0,Balance
3,27,50,0,Balance
7,36,46,0,Balance
8,37,40,0,Balance
4,40,71,0,Balance
5,35,50,0,Balance
7,36,46,0,Balance
28,117,70,0,Balance
3,6,0,0,Balance
14,91,91,0,Gmean1
18,60,55,1,Precision
7,114,66,0,Balance
21,105,86,0,Balance
6,27,0,0,Balance
33,162,86,0,Balance
16,98,0,1,Balance
6,16,0,0,Balance
10,93,91,0,Balance
25,130,66,0,Balance
9,174,56,0,Balance
3,8,0,0,Balance
9,61,0,0,Balance
9,41,66,0,Balance
11,30,0,0,Balance
8,31,9,0,Balance
5,104,94,0,Balance
9,20,0,0,Balance
9,60,68,0,Balance
10,72,0,0,Balance
3,18,50,0,Balance
9,62,33,0,Gmean1
10,502,84,0,Balance
5,92,53,0,Balance
7,40,33,0,Gmean1
8,164,73,0,Balance
10,65,37,0,Balance
4,15,0,0,Balance
5,39,33,0,Gmean1
5,17,0,0,Balance
10,46,50,0,Balance
11,17,0,0,Balance
2,19,75,0,Balance
4,10,0,0,Balance
7,69,0,0,Balance
3,23,50,0,Balance
9,45,66,0,Balance
7,643,97,0,Balance
5,45,50,0,Balance
2,22,37,0,Balance
9,17,0,0,Balance
8,41,0,0,Balance
2,4,0,0,Balance
12,21,50,0,Balance
30,175,88,0,Gmes
13,30,75,2,Gmean1
50,276,60,1,Accuracy
10,19,0,0,Balance
4,10,0,0,Balance
16,26,0,1,Balance
10,37,0,0,Balance
7,34,60,0,Balance
4,9,0,0,Balance
15,28,53,1,Gmean1
12,34,50,1,Gmean1
3,26,0,0,Balance
2,12,0,0,Balance
3,6,0,0,Balance
2,14,0,0,Balance
2,14,0,0,Balance
3,6,0,0,Balance
2,11,0,0,Balance
2,6,0,0,Balance
7,61,66,0,Balance
5,56,14,0,Balance
