CBO,WMC,LCOM,SLOC,Output
8,2,62,20,Gmean1
19,3,70,50,Gmean1
11,2,68,31,Gmean1
15,2,16,62,Gmean1
0,0,0,5,Gmean1
23,6,54,220,Gmean1
0,0,0,5,Gmean1
6,6,86,46,Gmean1
15,2,33,28,Gmean1
12,4,70,50,Gmean1
4,1,66,15,Gmean1
0,0,0,3,Gmean1
9,3,53,46,Gmean1
2,1,100,6,Precision
6,2,0,11,Gmean1
20,14,90,216,Gmean1
12,25,96,172,Gmean1
12,3,0,53,Gmean1
10,6,0,66,Gmean1
11,10,100,105,Gmean1
9,1,0,77,Gmean1
13,19,91,101,Gmean1
9,8,72,97,Gmean1
5,17,52,54,Gmean1
0,0,0,2,Gmean1
2,7,57,28,Gmean1
20,48,92,266,Gmean1
6,24,80,207,Gmean1
5,1,0,10,Gmean1
3,16,87,58,Gmean1
10,13,23,111,Gmean1
0,0,0,3,Gmean1
1,0,0,3,Gmean1
1,3,33,14,Gmean1
16,9,58,135,Gmean1
12,25,91,219,Gmean1
22,47,96,585,Gmean1
2,6,100,21,Fmes
16,27,94,220,Gmean1
10,5,80,118,Gmean1
8,15,90,88,Gmean1
3,6,75,27,Gmean1
3,2,100,9,Balance
1,2,100,10,Gmean1
0,0,0,3,Gmean1
8,1,50,18,Gmean1
1,0,0,6,Precision
7,5,60,43,Gmean1
25,4,53,75,Gmean1
18,4,60,71,Gmean1
1,1,100,6,Gmean1
14,4,64,38,Gmean1
20,5,54,133,Gmean1
0,0,0,3,Gmean1
5,1,66,40,Gmean1
0,0,0,5,Gmean1
13,10,70,78,Gmean1
31,39,94,455,Gmean1
14,17,90,150,Gmean1
17,16,71,301,Gmean1
4,12,100,83,Gmean1
5,2,0,28,Gmean1
2,1,0,8,Gmean1
3,2,0,15,Gmean1
17,5,76,124,Gmean1
4,2,0,11,Gmean1
3,1,0,10,Gmean1
5,13,76,49,Gmean1
31,34,0,649,Gmean1
5,1,0,10,Gmean1
0,0,0,3,Gmean1
4,10,80,37,Gmean1
3,2,75,12,Gmean1
1,0,0,3,Gmean1
1,0,0,3,Gmean1
2,1,0,8,Precision
9,4,25,45,Gmean1
12,28,93,238,Gmean1
10,8,0,103,Gmean1
6,4,0,87,Gmean1
10,3,0,33,Gmean1
9,16,93,154,Gmean1
4,1,0,11,Gmean1
6,11,100,80,Gmean1
7,4,75,27,Gmean1
12,17,83,87,Gmean1
3,1,50,13,Precision
3,13,100,49,Balance
0,0,0,3,Gmean1
16,5,80,56,Gmean1
22,3,38,65,Gmean1
22,4,53,76,Gmean1
18,3,83,103,Gmean1
2,1,0,7,Balance
6,2,100,13,Accuracy
23,7,64,89,Gmean1
3,2,50,20,Precision
11,7,66,139,Gmean1
14,25,91,164,Gmean1
