CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,ALTER
4,0,72,72,482,1,97,yes
10,0,1,1,47,1,0,yes
2,0,5,8,38,2,40,yes
1,0,9,121,64,2,74,no
4,0,6,9,121,2,71,yes
1,0,2,23,11,3,100,yes
11,0,18,18,726,1,89,yes
1,0,8,8,41,1,50,yes
0,0,6,6,23,1,66,no
11,0,11,11,225,1,90,no
1,0,5,5,68,1,84,no
8,0,27,27,342,1,94,no
0,0,2,2,27,2,0,yes
0,0,0,0,4,1,0,no
4,0,7,7,67,1,75,yes
0,0,6,6,23,1,66,no
3,0,4,4,24,1,0,yes
3,0,17,17,137,1,92,no
0,0,5,5,40,2,0,no
3,0,4,4,24,1,0,yes
3,0,4,4,24,1,0,yes
7,0,5,5,35,2,0,no
1,0,4,4,21,1,0,yes
6,0,16,16,274,2,89,no
2,0,6,6,97,2,87,no
2,0,2,2,22,2,0,no
3,0,4,4,24,1,0,yes
7,0,5,5,72,2,80,no
8,0,5,5,72,2,80,no
5,0,5,5,39,2,0,no
4,0,30,30,287,1,88,no
0,0,1,1,11,1,25,no
0,0,1,1,18,2,100,yes
3,2,13,13,114,2,89,yes
0,0,8,8,33,1,0,yes
10,0,5,5,106,1,60,no
0,0,3,3,21,2,66,no
2,0,17,17,146,2,81,yes
0,0,2,2,10,1,0,no
0,0,10,10,54,2,70,yes
5,0,15,15,99,1,53,yes
0,0,2,2,13,2,0,no
10,0,17,17,388,2,87,yes
1,0,4,4,40,1,75,yes
0,0,2,2,16,2,0,no
0,0,2,2,16,2,0,no
0,0,11,11,58,2,72,yes
6,0,17,17,215,2,89,yes
1,0,1,1,13,1,0,yes
1,0,1,1,7,1,0,yes
1,0,1,1,10,1,0,yes
26,0,20,41,291,3,81,yes
0,0,11,11,56,2,68,yes
3,0,19,19,246,2,69,yes
0,0,1,68,8,3,50,no
1,1,13,67,59,2,87,yes
14,17,54,54,360,1,94,yes
0,0,8,8,33,1,0,yes
1,1,8,62,33,2,87,yes
7,0,29,83,138,2,93,yes
1,0,2,2,10,1,50,no
0,0,2,56,8,2,100,no
14,7,27,27,273,1,86,yes
1,0,9,36,47,2,62,yes
5,0,23,58,133,3,68,no
1,0,15,48,65,3,64,yes
1,0,15,48,65,3,64,yes
5,0,9,36,75,2,63,yes
1,0,16,49,69,3,68,yes
1,0,15,48,66,3,66,yes
4,0,19,54,115,3,70,no
2,3,8,35,47,2,100,no
1,0,15,42,63,2,90,yes
0,4,6,33,33,2,100,yes
1,0,9,36,48,2,66,yes
1,0,4,4,18,1,0,yes
1,0,9,36,48,2,62,yes
2,0,16,51,89,3,64,yes
9,1,27,81,99,2,94,yes
2,0,5,5,44,1,60,yes
6,0,27,27,113,1,89,yes
3,0,14,14,73,1,76,no
0,0,1,1,10,1,0,no
34,0,41,41,589,1,91,yes
2,0,1,1,5,1,0,yes
1,0,4,4,22,1,50,yes
1,0,15,15,61,1,68,no
4,0,1,1,15,1,0,no
0,0,0,111,3,4,0,no
7,0,18,18,98,1,75,no
0,0,1,112,6,4,100,no
20,0,13,13,203,1,86,yes
1,0,3,3,19,1,0,no
11,2,30,111,324,3,90,yes
7,0,2,2,57,1,0,yes
6,1,12,33,115,3,79,yes
2,0,3,51,16,5,100,no
2,0,3,51,16,5,100,no
11,2,15,48,187,4,77,yes
1,0,2,23,10,3,100,yes
1,0,1,15,16,4,66,no
0,0,7,7,128,2,42,yes
6,0,5,68,76,3,80,yes
1,0,1,14,25,3,0,no
1,0,2,2,64,1,50,no
0,0,2,2,20,2,0,no
1,0,12,12,144,1,91,no
1,0,4,4,52,1,58,yes
5,0,21,75,168,2,79,yes
0,0,2,2,19,1,50,no
1,0,20,20,115,1,85,no
0,0,2,2,22,1,0,no
0,0,4,4,44,1,50,yes
3,0,15,15,171,2,90,yes
5,0,68,68,658,1,95,no
1,0,0,0,5,1,0,yes
0,0,3,3,40,1,92,yes
0,0,1,15,19,4,75,yes
7,0,11,74,136,3,84,yes
