Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,change
net.sf.jabref.exporter.layout.format.AuthorAndsReplacer,3,0,1,14,29,0,0,no
net.sf.jabref.exporter.layout.format.AuthorAndsReplacerTest,2,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.AuthorFirstAbbrLastCommas,3,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.AuthorFirstAbbrLastCommasTest,2,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.AuthorFirstAbbrLastOxfordCommas,3,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.AuthorFirstAbbrLastOxfordCommasTest,2,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.AuthorFirstFirst,3,0,1,14,8,0,0,no
net.sf.jabref.exporter.layout.format.AuthorFirstFirstCommas,3,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.AuthorFirstFirstTest,1,0,1,14,8,0,0,no
net.sf.jabref.exporter.layout.format.AuthorFirstLastCommas,3,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.AuthorFirstLastCommasTest,2,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.AuthorFirstLastOxfordCommas,3,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.AuthorFirstLastOxfordCommasTest,2,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirst,3,0,1,14,8,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirstAbbrCommas,3,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirstAbbrCommasTest,2,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirstAbbreviator,3,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirstAbbreviatorTester,2,0,6,19,32,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirstAbbrOxfordCommas,3,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirstAbbrOxfordCommasTest,2,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirstCommas,3,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirstCommasTest,2,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirstOxfordCommas,3,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirstOxfordCommasTest,2,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLastFirstTest,2,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLF_FF,3,0,1,14,7,0,0,no
net.sf.jabref.exporter.layout.format.AuthorLF_FFAbbr,3,0,1,14,7,0,0,no
net.sf.jabref.exporter.layout.format.AuthorNatBib,3,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.AuthorOrgSci,5,0,1,14,16,0,0,no
net.sf.jabref.exporter.layout.format.AuthorOrgSciTest,4,0,2,15,16,0,0,no
net.sf.jabref.exporter.layout.format.Authors,10,0,5,19,263,70,1,yes
net.sf.jabref.exporter.layout.format.BibtexNameLayoutFormatterTest,2,0,2,15,33,0,0,no
net.sf.jabref.exporter.layout.format.CompositeFormat,2,0,4,17,20,25,0,no
net.sf.jabref.exporter.layout.format.CompositeFormatTest,4,0,1,14,34,0,0,no
net.sf.jabref.exporter.layout.format.CreateBibORDFAuthors,3,0,2,15,33,0,0,no
net.sf.jabref.exporter.layout.format.CreateDocBookAuthors,9,1,3,16,81,66,0,yes
net.sf.jabref.exporter.layout.format.CreateDocBookEditors,4,0,1,17,11,0,1,no
net.sf.jabref.exporter.layout.format.CurrentDate,5,0,1,14,13,0,0,yes
net.sf.jabref.exporter.layout.format.Default,2,0,2,15,11,0,0,no
net.sf.jabref.exporter.layout.format.DOICheck,4,0,1,14,9,0,0,yes
net.sf.jabref.exporter.layout.format.DOICheckTest,2,0,1,14,21,0,0,yes
net.sf.jabref.exporter.layout.format.DOIStrip,4,0,1,14,9,0,0,no
net.sf.jabref.exporter.layout.format.FileLink,11,0,2,15,50,0,0,yes
net.sf.jabref.exporter.layout.format.FirstPage,2,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.FormatChars,8,0,1,14,299,0,0,yes
net.sf.jabref.exporter.layout.format.FormatPagesForHTML,2,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.FormatPagesForXML,2,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.GetOpenOfficeType,2,0,1,14,50,0,0,no
net.sf.jabref.exporter.layout.format.HTMLChars,9,0,1,14,124,0,0,yes
net.sf.jabref.exporter.layout.format.HtmlCharsMap,0,0,1,83,186,0,0,no
net.sf.jabref.exporter.layout.format.HTMLParagraphs,5,0,1,14,27,0,0,no
net.sf.jabref.exporter.layout.format.HTMLParagraphsTest,2,0,1,14,11,0,0,no
net.sf.jabref.exporter.layout.format.IfPlural,2,0,2,16,26,0,1,yes
net.sf.jabref.exporter.layout.format.Iso690FormatDate,3,0,1,14,17,0,0,no
net.sf.jabref.exporter.layout.format.Iso690NamesAuthors,3,0,1,14,51,0,0,no
net.sf.jabref.exporter.layout.format.JournalAbbreviator,5,0,1,14,6,0,0,no
