Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
org.apache.hama.examples.CombineExample.MyBSP,7,0,1,17,19,1,100,no
org.apache.hama.examples.CombineExample.SumCombiner,3,0,1,15,10,1,0,no
org.apache.hama.examples.CombineExampleTest,4,0,1,14,10,0,0,no
org.apache.hama.examples.MindistSearch,17,0,2,15,104,0,0,no
org.apache.hama.examples.PageRank,19,0,3,16,137,0,0,no
org.apache.hama.examples.PiEstimator,16,0,2,15,84,0,0,no
org.apache.hama.examples.PiEstimator.MyEstimator,8,0,3,19,42,1,55,no
org.apache.hama.examples.PiEstimatorTest,4,0,2,15,18,0,0,no
org.apache.hama.examples.RandBench,13,0,1,14,65,0,0,no
org.apache.hama.examples.RandBench.RandBSP,9,0,2,18,37,1,19,no
org.apache.hama.examples.RandBenchTest,4,0,2,15,18,0,0,no
org.apache.hama.examples.SSSP,17,0,2,15,99,0,50,no
org.apache.hama.examples.SSSP.MinIntCombiner,4,0,1,15,12,1,0,no
org.apache.hama.examples.SuperstepPiEstimator,19,0,2,15,95,0,50,no
org.apache.hama.examples.SuperstepPiEstimator.PiEstimatorAggregator,6,0,2,19,23,1,0,no
org.apache.hama.examples.SuperstepPiEstimator.PiEstimatorCalculator,6,0,2,19,26,1,50,no
org.apache.hama.graph.AbsDiffAggregator,3,1,3,23,20,1,0,no
org.apache.hama.graph.AverageAggregator,1,0,1,24,6,2,0,no
org.apache.hama.graph.example.PageRank,0,0,0,13,87,0,0,no
org.apache.hama.graph.MaxAggregator,3,0,2,22,14,1,0,no
org.apache.hama.graph.MinAggregator,3,0,2,22,14,1,0,no
org.apache.hama.graph.SumAggregator,2,0,2,22,13,1,0,no
org.apache.hama.HamaClusterTestCase,8,1,5,28,61,2,60,no
org.apache.hama.HamaConfiguration,1,0,4,17,20,1,0,no
org.apache.hama.http.HttpServer.StackServlet,4,0,1,14,10,1,100,no
org.apache.hama.ipc.TestIPC,12,0,6,19,176,1,86,no
org.apache.hama.ipc.TestIPC.SerialCaller,6,0,2,88,28,0,12,no
org.apache.hama.ipc.TestIPC.TestServer,7,0,2,15,18,1,0,no
org.apache.hama.ipc.TestRPC,9,0,3,16,106,1,66,no
org.apache.hama.ipc.TestRPC.TestImpl,3,0,9,22,43,0,0,no
org.apache.hama.MiniBSPCluster,20,0,12,25,196,0,69,no
org.apache.hama.MiniBSPCluster.BSPMasterRunner,10,0,5,18,37,0,40,no
org.apache.hama.MiniBSPCluster.GroomServerRunner,9,0,5,18,38,0,40,no
org.apache.hama.monitor.fd.FDProvider,9,0,2,15,29,0,50,no
org.apache.hama.monitor.fd.TestFD,1,0,0,32,3,4,0,no
org.apache.hama.monitor.fd.UDPSupervisor,29,0,6,19,292,0,59,no
org.apache.hama.monitor.fd.UDPSupervisor.Calculator,7,0,2,15,18,0,25,no
org.apache.hama.monitor.fd.UDPSupervisor.Hermes,7,0,2,15,35,0,16,no
org.apache.hama.monitor.fd.UDPSupervisor.Pair,1,0,0,13,4,0,0,no
org.apache.hama.monitor.fd.UDPSupervisor.Watcher,17,0,2,15,34,0,25,no
org.apache.hama.monitor.Federator,12,0,3,89,64,0,33,no
org.apache.hama.monitor.Federator.Act,2,0,3,16,14,0,33,no
org.apache.hama.monitor.Federator.ServiceWorker,3,0,2,15,10,0,0,no
org.apache.hama.monitor.Metric,3,0,8,21,47,0,58,no
org.apache.hama.monitor.MetricsRecord,8,0,10,23,36,0,75,no
org.apache.hama.monitor.Monitor,17,0,4,90,325,0,67,no
org.apache.hama.monitor.Monitor.Collector,8,0,2,88,30,0,0,no
org.apache.hama.monitor.Monitor.Initializer,14,0,2,88,42,0,0,no
org.apache.hama.monitor.Monitor.Publisher,13,0,4,90,42,0,50,no
org.apache.hama.monitor.Monitor.Task,4,1,5,18,17,0,60,no
org.apache.hama.monitor.Monitor.TaskException,1,0,3,47,12,0,100,no
org.apache.hama.monitor.Monitor.TaskWorker,3,0,2,15,9,0,0,no
org.apache.hama.monitor.plugin.JvmTask,19,0,5,23,142,1,70,no
org.apache.hama.monitor.plugin.JvmTask.JvmResult,5,0,4,17,18,0,50,no
