name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,Change
maven-compat-src-test-java-org-apache-maven-artifact-repository-MavenArtifactRepositoryTest-MavenArtifactRepositoryTest.java,2,0,1,14,29,1,0,no
maven-compat-src-test-java-org-apache-maven-artifact-repository-MavenArtifactRepositoryTest-MavenArtifactRepositorySubclass.java,2,0,2,52,13,1,0,no
maven-core-src-main-java-org-apache-maven-artifact-repository-metadata-AbstractRepositoryMetadata-AbstractRepositoryMetadata.java,14,3,14,28,175,0,64,yes
maven-core-src-main-java-org-apache-maven-artifact-repository-metadata-ArtifactRepositoryMetadata-ArtifactRepositoryMetadata.java,7,0,13,41,73,1,61,no
maven-compat-src-main-java-org-apache-maven-artifact-repository-metadata-DefaultRepositoryMetadataManager-DefaultRepositoryMetadataManager.java,28,0,12,25,436,1,79,yes
maven-compat-src-main-java-org-apache-maven-artifact-repository-metadata-GroupRepositoryMetadata-GroupRepositoryMetadata.java,4,0,12,40,73,1,75,yes
maven-core-src-main-java-org-apache-maven-artifact-repository-metadata-io-DefaultMetadataReader-DefaultMetadataReader.java,8,0,4,17,61,0,0,yes
maven-core-src-main-java-org-apache-maven-artifact-repository-metadata-io-MetadataParseException-MetadataParseException.java,1,0,4,52,27,0,25,no
maven-compat-src-main-java-org-apache-maven-artifact-repository-metadata-MetadataBridge-MetadataBridge.java,13,0,13,26,110,1,65,no
maven-compat-src-main-java-org-apache-maven-artifact-repository-metadata-MetadataBridge-MetadataRepository.java,4,0,3,42,20,2,0,no
maven-compat-src-main-java-org-apache-maven-artifact-repository-metadata-MetadataUtils-MetadataUtils.java,0,0,1,14,11,0,0,no
maven-core-src-main-java-org-apache-maven-artifact-repository-metadata-RepositoryMetadataDeploymentException-RepositoryMetadataDeploymentException.java,2,0,2,41,13,0,0,no
maven-core-src-main-java-org-apache-maven-artifact-repository-metadata-RepositoryMetadataInstallationException-RepositoryMetadataInstallationException.java,2,0,2,41,13,0,0,no
maven-compat-src-main-java-org-apache-maven-artifact-repository-metadata-RepositoryMetadataReadException-RepositoryMetadataReadException.java,1,0,2,46,13,0,0,no
maven-core-src-main-java-org-apache-maven-artifact-repository-metadata-RepositoryMetadataResolutionException-RepositoryMetadataResolutionException.java,1,0,2,46,13,0,0,no
maven-artifact-src-main-java-org-apache-maven-artifact-repository-metadata-RepositoryMetadataStoreException-RepositoryMetadataStoreException.java,1,0,2,46,13,0,0,no
maven-compat-src-main-java-org-apache-maven-artifact-repository-metadata-SnapshotArtifactRepositoryMetadata-SnapshotArtifactRepositoryMetadata.java,3,0,12,40,56,1,25,no
