Name,CBO,NOC,WMC,RFC,DIT,LCOM,SLOC,change
org.apache.click.examples.domain.auto._StudentHouse,3,1,5,20,2,100,20,no
org.apache.click.examples.domain.auto._SystemCode,2,1,8,23,2,100,32,no
org.apache.click.examples.domain.auto._User,1,1,8,23,2,100,32,no
org.apache.click.examples.domain.BaseEntity,1,10,2,15,1,100,10,no
org.apache.click.examples.domain.Client,1,0,1,30,3,100,6,no
org.apache.click.examples.domain.Course,0,0,0,20,3,0,3,no
org.apache.click.examples.domain.CourseBooking,0,0,0,25,3,0,3,no
org.apache.click.examples.domain.Customer,0,0,0,29,3,0,3,no
org.apache.click.examples.domain.PostCode,0,0,0,21,3,0,3,no
org.apache.click.examples.domain.Student,0,0,0,22,3,0,3,no
org.apache.click.examples.domain.StudentHouse,0,0,0,20,3,0,3,no
org.apache.click.examples.domain.SystemCode,0,0,0,23,3,0,3,no
org.apache.click.examples.domain.User,0,0,0,23,3,0,3,no
org.apache.click.examples.interceptor.ProfilingInterceptor,7,0,5,18,0,54,41,no
org.apache.click.examples.page.ajax.AutoCompletePage,8,0,1,62,2,66,19,yes
org.apache.click.examples.page.BorderPage,6,90,4,61,1,75,29,no
org.apache.click.examples.page.cayenne.AccommodationDemo,13,0,4,81,3,75,40,no
org.apache.click.examples.page.cayenne.CayenneFormPage,15,0,4,81,3,75,49,no
org.apache.click.examples.page.cayenne.EnrollmentDemo,18,0,8,85,3,66,63,yes
org.apache.click.examples.page.cayenne.FormTablePage,17,4,16,77,2,81,103,yes
org.apache.click.examples.page.cayenne.TabbedCayenneFormPage,16,0,5,82,3,80,56,no
org.apache.click.examples.page.control.ActionDemo,8,0,2,63,2,62,20,yes
org.apache.click.examples.page.control.CheckListDemo,13,0,2,63,2,42,44,yes
org.apache.click.examples.page.control.DisabledDemo,19,0,3,64,2,70,50,yes
org.apache.click.examples.page.control.EmailForm,11,0,1,62,2,50,23,yes
org.apache.click.examples.page.control.FieldSetDemo,22,0,3,64,2,38,65,yes
org.apache.click.examples.page.control.FileUpload,10,0,2,63,2,16,38,yes
org.apache.click.examples.page.control.ImageDemo,6,0,4,65,2,75,50,yes
org.apache.click.examples.page.control.LinkDemo,11,0,2,63,2,68,31,yes
org.apache.click.examples.page.control.MenuDemo,0,0,0,61,2,0,3,no
org.apache.click.examples.page.control.PickListDemo,6,0,3,64,2,58,28,yes
org.apache.click.examples.page.control.RegexDemo,8,0,1,62,2,50,18,yes
org.apache.click.examples.page.control.SelectDemo,15,0,2,63,2,16,62,yes
org.apache.click.examples.page.control.SubmitLinkDemo,9,0,5,66,2,100,77,yes
org.apache.click.examples.page.EditCustomer,22,0,4,65,2,53,76,no
org.apache.click.examples.page.form.ContactDetailsPage,19,0,1,62,2,50,36,no
org.apache.click.examples.page.form.dynamic.DynamicFieldSet,10,0,2,63,2,50,43,yes
