Name,CBO,NOC,WMC,RFC,DIT,LCOM,SLOC,change
org.apache.click.util.Address,4,0,14,27,0,85,51,no
org.apache.click.util.ChildObject,1,0,5,18,0,50,18,no
org.apache.click.util.ClickUtils,72,0,76,89,0,97,1421,yes
org.apache.click.util.ClickUtilsTest,27,0,13,26,1,87,286,yes
org.apache.click.util.ContainerMessageMapTest,8,0,1,14,1,0,26,yes
org.apache.click.util.ContainerMessageMapTest.MyForm,2,0,2,173,3,0,9,yes
org.apache.click.util.ContainerUtils,31,0,34,47,0,0,649,yes
org.apache.click.util.ContainerUtilsTest,16,0,2,15,1,0,53,yes
org.apache.click.util.ContainerUtilsTest.Car,1,0,3,16,0,0,12,no
org.apache.click.util.ContainerUtilsTest.Part,0,0,2,15,0,0,9,no
org.apache.click.util.ErrorPage,5,1,7,64,1,75,37,yes
org.apache.click.util.ErrorReport,28,0,17,30,0,86,427,yes
org.apache.click.util.FlashAttribute,2,0,3,16,0,50,17,no
org.apache.click.util.Format,15,0,25,38,0,96,215,yes
org.apache.click.util.FormatTest,4,0,1,14,1,0,15,no
org.apache.click.util.HtmlStringBuffer,6,0,24,37,0,80,207,yes
org.apache.click.util.HtmlStringBufferTest,2,0,1,14,1,0,42,yes
org.apache.click.util.MessagesMap,19,1,16,29,0,80,171,yes
org.apache.click.util.MessagesMap.CacheKey,3,0,3,16,0,0,42,yes
org.apache.click.util.MessagesMapTest,10,0,8,21,1,0,133,no
org.apache.click.util.MessagesMapTest.ReloadableMessagesMap,8,0,3,32,1,0,22,yes
org.apache.click.util.PageImports,25,0,17,30,0,82,281,yes
org.apache.click.util.PageImports.CssElements,5,0,1,14,0,0,10,no
org.apache.click.util.PageImports.HeadElements,5,0,1,14,0,0,12,no
org.apache.click.util.PageImports.Imports,5,0,1,14,0,0,13,no
org.apache.click.util.PageImports.JsElements,5,0,1,14,0,0,10,no
org.apache.click.util.ParentObject,4,0,8,21,0,72,34,no
org.apache.click.util.PropertyUtils,10,0,5,18,0,70,128,yes
org.apache.click.util.PropertyUtils.CacheKey,3,0,3,16,0,0,30,yes
org.apache.click.util.PropertyUtilsTest,8,0,2,15,1,0,50,yes
org.apache.click.util.RequestTypeConverter,23,0,5,18,0,0,134,yes
org.apache.click.util.RequestTypeConverterTest,8,0,1,14,1,0,49,yes
org.apache.click.util.SampleObject,3,0,16,29,0,87,58,no
org.apache.click.util.SessionMap,10,0,13,26,0,23,111,yes
org.apache.click.util.State,2,0,4,17,0,50,16,no
org.apache.click.util.Test1TextField,0,1,0,134,3,0,3,no
org.apache.click.util.Test2TextField,0,0,0,134,4,0,3,no
org.apache.click.util.TestPage,0,0,0,57,1,0,2,yes
org.apache.click.util.User,4,0,10,23,0,80,37,no
org.apache.click.utilinvokelistener.ClickUtilsInvokeListenerTest,4,0,1,14,1,0,90,yes
org.apache.click.utilinvokelistener.ClickUtilsInvokeListenerTest.ListenerMock,0,0,6,19,0,66,22,yes
org.apache.click.utilinvokelistener.ClickUtilsInvokeListenerTest.PrivListenerMock,0,0,1,14,0,0,5,yes
template.page.admin.Admin1Page,1,0,0,60,3,0,3,no
template.page.admin.Admin2Page,1,0,0,60,3,0,3,no
template.page.BasePage,0,1,1,58,1,50,10,no
template.page.BorderPage,3,8,2,60,2,75,12,yes
template.page.click.ErrorPage,6,0,2,66,2,75,15,no
template.page.LoginPage,1,0,0,60,3,0,3,no
template.page.LogoutPage,3,0,1,61,3,50,10,no
template.page.NotAuthorizedPage,1,0,0,60,3,0,3,no
template.page.user.HomePage,1,0,0,60,3,0,3,no
template.page.user.User1Page,1,0,0,60,3,0,3,no
template.page.user.User2Page,1,0,0,60,3,0,3,no
org.apache.click.extras.spring.SpringClickServlet.BeanNameAndMethod,2,0,1,14,0,0,8,yes
org.apache.click.extras.control.CountrySelect.OptionLabelComparator,3,0,2,15,0,0,10,yes
org.apache.click.extras.tree.Tree.BreadthTreeIterator,7,0,6,19,0,41,40,yes
org.apache.click.Context.ContextStack,3,0,4,100,0,100,22,no
org.apache.click.ActionEventDispatcher.DispatcherStack,3,0,4,100,0,100,22,no
org.apache.click.control.Column.ColumnComparator,6,0,5,18,0,80,71,no
org.apache.click.service.DeployUtils.IsDeployable,1,0,2,15,0,0,7,no
org.apache.click.service.XmlConfigService.ExcludesElm,9,0,4,17,0,25,45,yes
org.apache.click.service.XmlConfigService.PageElm,13,0,8,21,0,50,79,yes
org.apache.click.service.XmlConfigService.PageInterceptorConfig,9,0,2,15,0,12,36,yes
org.apache.click.service.XmlConfigService.Property,1,0,3,16,0,33,14,no
org.apache.click.control.FieldSetTest.Div,2,0,2,81,2,0,8,yes
org.apache.click.control.FormTest.Div,2,0,2,81,2,0,8,yes
