Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
org.apache.zookeeper.graph.LogSkipList.Mark,1,0,5,18,16,0,40,no
org.apache.zookeeper.graph.MeasureThroughput,14,0,1,14,60,0,0,no
org.apache.zookeeper.graph.MergedLogSource,14,0,11,24,135,0,70,no
org.apache.zookeeper.graph.MergedLogSource.MergedLogSourceIterator,9,0,7,20,67,0,83,no
org.apache.zookeeper.graph.RandomAccessFileReader,15,0,24,49,230,0,86,no
org.apache.zookeeper.graph.servlets.FileLoader,5,0,2,17,21,2,0,no
org.apache.zookeeper.graph.servlets.Fs,6,0,1,16,33,2,0,no
org.apache.zookeeper.graph.servlets.GraphData,9,0,2,17,36,2,33,no
org.apache.zookeeper.graph.servlets.JsonServlet,6,5,2,15,45,1,0,no
org.apache.zookeeper.graph.servlets.JsonServlet.JsonRequest,4,0,3,16,25,0,0,no
org.apache.zookeeper.graph.servlets.NumEvents,7,0,2,17,38,2,50,no
org.apache.zookeeper.graph.servlets.StaticContent,4,0,1,14,20,1,0,no
org.apache.zookeeper.graph.servlets.Throughput,12,0,2,17,70,2,37,no
org.apache.zookeeper.graph.TransactionEntry,3,0,9,27,32,1,0,no
org.apache.zookeeper.graph.TxnLogSource,24,0,12,25,269,0,78,no
org.apache.zookeeper.graph.TxnLogSource.TxnLogSourceIterator,23,0,8,21,157,0,70,no
org.apache.zookeeper.inspector.encryption.BasicDataEncryptionManager,2,0,2,15,11,0,0,no
org.apache.zookeeper.inspector.gui.nodeviewer.NodeViewerACL,8,0,4,711,113,1,66,no
org.apache.zookeeper.inspector.gui.nodeviewer.NodeViewerData,13,0,4,711,73,1,75,yes
org.apache.zookeeper.inspector.gui.nodeviewer.NodeViewerMetaData,8,0,4,711,110,1,66,no
org.apache.zookeeper.inspector.gui.nodeviewer.ZooInspectorNodeViewer,8,3,8,707,51,0,62,no
org.apache.zookeeper.inspector.gui.ZooInspectorAboutDialog,16,0,1,751,39,0,0,yes
