Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
org.apache.gora.examples.mapreduce.WordCount.TokenizerMapper,7,0,1,19,17,2,0,no
org.apache.gora.examples.mapreduce.WordCount.WordCountReducer,5,0,1,17,13,2,0,no
org.apache.gora.examples.TestWebPageDataCreator,5,0,1,14,6,0,0,yes
org.apache.gora.examples.WebPageDataCreator,18,0,3,16,108,0,76,no
org.apache.gora.filter.FilterList,13,0,10,23,62,0,44,no
org.apache.gora.filter.MapFieldValueFilter,22,0,14,27,120,0,61,no
org.apache.gora.filter.SingleFieldValueFilter,20,0,12,25,107,0,56,no
org.apache.gora.filter.TestMapFieldValueFilter,11,0,3,16,52,0,0,no
org.apache.gora.filter.TestSingleFieldValueFilter,10,0,3,16,47,0,0,no
org.apache.gora.GoraTestDriver,8,5,9,22,53,0,66,no
org.apache.gora.hbase.GoraHBaseTestDriver,5,0,8,30,33,1,50,no
org.apache.gora.hbase.mapreduce.TestHBaseStoreCountQuery,8,0,3,16,18,0,16,no
org.apache.gora.hbase.mapreduce.TestHBaseStoreWordCount,9,0,3,16,22,0,11,no
org.apache.gora.hbase.query.HBaseGetResult,4,0,4,35,27,2,50,no
org.apache.gora.hbase.query.HBaseQuery,1,0,2,48,8,1,0,no
org.apache.gora.hbase.query.HBaseResult,4,2,3,31,14,1,0,no
org.apache.gora.hbase.query.HBaseScannerResult,4,0,5,36,27,2,40,no
org.apache.gora.hbase.store.HBaseColumn,3,0,6,19,43,0,16,no
org.apache.gora.hbase.store.HBaseMapping,3,0,4,17,96,0,37,no
org.apache.gora.hbase.store.HBaseMapping.HBaseMappingBuilder,9,0,9,22,78,0,70,no
org.apache.gora.hbase.store.HBaseStore,42,0,38,72,632,1,89,yes
org.apache.gora.hbase.store.HBaseTableConnection,11,0,39,52,188,0,92,no
org.apache.gora.hbase.store.TestHBaseStore,17,0,14,73,144,1,42,no
org.apache.gora.hbase.util.BaseFactory,2,1,2,15,11,0,0,no
org.apache.gora.hbase.util.DefaultFactory,16,0,3,18,72,1,66,no
org.apache.gora.hbase.util.HBaseByteInterface,19,0,4,17,141,0,75,no
org.apache.gora.hbase.util.HBaseClusterSingleton,11,0,9,22,93,0,73,no
org.apache.gora.hbase.util.HBaseFilterUtil,11,0,3,16,38,0,50,no
org.apache.gora.hbase.util.TestHBaseByteInterface,21,0,2,15,57,0,50,no
org.apache.gora.mapreduce.DataStoreMapReduceTestBase,6,1,6,19,37,1,61,no
org.apache.gora.mapreduce.GoraInputFormat,20,0,10,23,79,1,80,no
org.apache.gora.mapreduce.GoraInputSplit,9,0,10,23,48,1,55,no
org.apache.gora.mapreduce.GoraMapper,6,3,5,18,75,1,0,no
org.apache.gora.mapreduce.GoraMapReduceUtils,8,0,3,16,34,0,0,yes
org.apache.gora.mapreduce.GoraMapReduceUtils.HelperInputFormat,3,0,1,14,7,1,0,yes
org.apache.gora.mapreduce.GoraOutputFormat,13,0,6,19,60,1,66,no
org.apache.gora.mapreduce.GoraRecordCounter,0,0,5,18,19,0,40,no
org.apache.gora.mapreduce.GoraRecordReader,9,0,8,21,74,1,70,yes
