classname,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
jEdit-org-gjt-sp-jedit-datatransfer-RichTextTransferable-RichTextTransferable.java,6,0,4,17,25,0,58,no
jEdit-org-gjt-sp-jedit-datatransfer-StringTransferableService-StringTransferableService.java,4,0,2,15,11,0,0,no
jEdit-org-gjt-sp-jedit-datatransfer-TransferHandler-TransferHandler.java,10,0,4,17,36,0,50,no
jEdit-org-gjt-sp-jedit-Debug-Debug.java,2,0,1,14,41,0,100,no
jEdit-org-gjt-sp-jedit-EBMessage-EBMessage.java,4,15,5,18,28,0,19,no
jEdit-org-gjt-sp-jedit-EBPlugin-EBPlugin.java,3,0,2,34,15,1,50,no
jEdit-org-gjt-sp-jedit-EditAction-EditAction.java,4,6,11,31,69,1,0,no
jEdit-org-gjt-sp-jedit-EditAction-Wrapper.java,6,0,2,15,20,0,0,no
jEdit-org-gjt-sp-jedit-EditBus-EditBus.java,23,0,9,22,232,0,66,no
jEdit-org-gjt-sp-jedit-EditBus-EBMessageHandler.java,2,0,1,14,13,0,0,no
jEdit-org-gjt-sp-jedit-EditBus-HandlerList.java,12,0,5,87,91,0,46,no
jEdit-org-gjt-sp-jedit-EditBus-SendMessage.java,5,0,2,15,20,0,0,no
jEdit-org-gjt-sp-jedit-EditPane-EditPane.java,49,0,34,733,832,0,79,yes
jEdit-org-gjt-sp-jedit-EditPane-CaretInfo.java,1,0,0,13,8,0,0,yes
jEdit-org-gjt-sp-jedit-EditPane-MarkerHighlight.java,12,0,6,23,64,1,66,no
jEdit-org-gjt-sp-jedit-EditPane-StatusHandler.java,7,0,3,16,44,0,0,no
jEdit-org-gjt-sp-jedit-EditPlugin-EditPlugin.java,16,3,19,32,189,0,94,yes
jEdit-org-gjt-sp-jedit-EditPlugin-Broken.java,3,0,2,34,14,1,0,no
jEdit-org-gjt-sp-jedit-EditPlugin-Deferred.java,3,0,4,36,21,1,25,no
jEdit-org-gjt-sp-jedit-EditServer-EditServer.java,25,0,8,94,218,0,70,yes
jEdit-org-gjt-sp-jedit-gui-AbbrevEditor-AbbrevEditor.java,12,0,8,707,165,0,50,no
jEdit-org-gjt-sp-jedit-gui-AboutDialog-AboutDialog.java,13,0,3,753,250,0,0,no
jEdit-org-gjt-sp-jedit-gui-AboutDialog-AboutPanel.java,31,0,9,697,198,0,79,no
jEdit-org-gjt-sp-jedit-gui-AbstractContextOptionPane-AbstractContextOptionPane.java,23,2,9,725,219,1,77,no
jEdit-org-gjt-sp-jedit-gui-AbstractContextOptionPane-ActionHandler.java,15,0,1,14,78,0,0,no
jEdit-org-gjt-sp-jedit-gui-AbstractContextOptionPane-ListHandler.java,3,0,1,14,7,0,0,no
jEdit-org-gjt-sp-jedit-gui-AbstractContextOptionPane-MenuItem.java,2,0,2,15,13,0,25,no
jEdit-org-gjt-sp-jedit-gui-AbstractContextOptionPane-MenuItemCompare.java,3,0,1,14,7,0,0,no
jEdit-org-gjt-sp-jedit-gui-ActionBar-ActionBar.java,30,0,6,726,426,0,64,no
jEdit-org-gjt-sp-jedit-gui-ActionBar-ActionHandler.java,4,0,1,14,9,0,0,no
jEdit-org-gjt-sp-jedit-gui-ActionBar-ActionTextField.java,14,0,5,846,115,1,60,no
jEdit-org-gjt-sp-jedit-gui-ActionBar-CompletionList.java,13,0,2,681,95,0,0,no
jEdit-org-gjt-sp-jedit-gui-ActionBar-CompletionPopup.java,2,0,2,773,11,0,0,no
jEdit-org-gjt-sp-jedit-gui-ActionBar-DocumentHandler.java,8,0,2,19,36,0,0,no
jEdit-org-gjt-sp-jedit-gui-ActionBar-KeyHandler.java,3,0,1,23,7,0,0,no
jEdit-org-gjt-sp-jedit-gui-ActionBar-MouseHandler.java,2,0,3,16,13,0,0,no
jEdit-org-gjt-sp-jedit-gui-AddAbbrevDialog-ActionHandler.java,16,0,1,751,86,0,0,no
jEdit-org-gjt-sp-jedit-gui-AddAbbrevDialog-AddAbbrevDialog.java,11,0,1,14,31,0,0,no
jEdit-org-gjt-sp-jedit-gui-AddAbbrevDialog-KeyHandler.java,2,0,1,18,7,0,0,no
jEdit-org-gjt-sp-jedit-gui-AnimatedIcon-AnimatedIcon.java,4,0,9,49,68,0,70,no
jEdit-org-gjt-sp-jedit-gui-AnimatedIcon-Animator.java,4,0,1,14,9,0,0,no
jEdit-org-gjt-sp-jedit-gui-BeanShellErrorDialog-BeanShellErrorDialog.java,3,0,2,766,11,2,0,no
jEdit-org-gjt-sp-jedit-gui-BufferOptions-ActionHandler.java,15,0,3,760,57,1,60,no
jEdit-org-gjt-sp-jedit-gui-BufferOptions-BufferOptions.java,3,0,1,14,11,0,0,no
jEdit-org-gjt-sp-jedit-gui-BufferSwitcher-BufferCellRenderer.java,6,0,2,770,78,0,66,no
jEdit-org-gjt-sp-jedit-gui-BufferSwitcher-BufferSwitcher.java,3,0,1,747,19,0,0,yes
jEdit-org-gjt-sp-jedit-gui-CloseDialog-CloseDialog.java,26,0,6,763,181,1,79,no
jEdit-org-gjt-sp-jedit-gui-CloseDialog-ActionHandler.java,13,0,1,14,70,0,0,yes
jEdit-org-gjt-sp-jedit-gui-CloseDialog-ListHandler.java,9,0,1,14,23,0,0,no
jEdit-org-gjt-sp-jedit-gui-ColorWellButton-ColorWellButton.java,5,0,3,811,70,0,0,no
jEdit-org-gjt-sp-jedit-gui-ColorWellButton-ActionHandler.java,8,0,1,14,23,0,0,no
jEdit-org-gjt-sp-jedit-gui-ColorWellButton-ColorWell.java,3,0,4,17,24,0,50,no
jEdit-org-gjt-sp-jedit-gui-CompleteWord-CompleteWord.java,28,0,11,704,353,1,76,no
jEdit-org-gjt-sp-jedit-gui-CompleteWord-Completion.java,1,0,4,17,25,0,37,no
jEdit-org-gjt-sp-jedit-gui-CompleteWord-Words.java,10,0,6,19,44,0,50,no
jEdit-org-gjt-sp-jedit-gui-CompletionPopup-CompletionPopup.java,27,1,14,693,320,0,62,no
jEdit-org-gjt-sp-jedit-gui-CompletionPopup-CandidateListModel.java,3,0,2,23,12,0,0,no
jEdit-org-gjt-sp-jedit-gui-CompletionPopup-CellRenderer.java,5,0,1,14,10,0,0,no
jEdit-org-gjt-sp-jedit-gui-CompletionPopup-KeyHandler.java,5,0,2,19,95,0,0,no
jEdit-org-gjt-sp-jedit-gui-CompletionPopup-MouseHandler.java,4,0,1,23,14,0,0,no
jEdit-org-gjt-sp-jedit-gui-CompletionPopup-WindowFocusHandler.java,3,0,2,15,11,0,0,no
jEdit-org-gjt-sp-jedit-gui-ContextAddDialog-ContextAddDialog.java,36,0,5,762,149,1,62,no
jEdit-org-gjt-sp-jedit-gui-ContextAddDialog-ActionHandler.java,8,0,1,14,18,0,0,no
jEdit-org-gjt-sp-jedit-gui-DefaultInputHandler-DefaultInputHandler.java,13,0,8,56,138,2,0,no
jEdit-org-gjt-sp-jedit-gui-DockableLayout-DockableLayout.java,10,0,13,26,348,0,77,no
jEdit-org-gjt-sp-jedit-gui-DockablePanel-DockablePanel.java,9,0,6,705,221,0,72,no
jEdit-org-gjt-sp-jedit-gui-DockablePanel-ResizeMouseHandler.java,14,0,6,28,140,0,41,no
jEdit-org-gjt-sp-jedit-gui-DockableWindowFactory-DockableWindowFactory.java,18,0,10,23,380,0,60,yes
jEdit-org-gjt-sp-jedit-gui-DockableWindowFactory-DockableListHandler.java,18,0,13,44,127,0,79,no
jEdit-org-gjt-sp-jedit-gui-DockableWindowFactory-Window.java,17,0,3,16,152,0,44,no
jEdit-org-gjt-sp-jedit-gui-DockableWindowFactory-FloatAction.java,4,0,3,34,19,2,0,no
jEdit-org-gjt-sp-jedit-gui-DockableWindowFactory-OpenAction.java,4,0,3,34,19,2,0,no
jEdit-org-gjt-sp-jedit-gui-DockableWindowFactory-ToggleAction.java,4,0,4,35,24,2,0,no
jEdit-org-gjt-sp-jedit-gui-DockableWindowManager-DockableWindowManager.java,24,1,46,745,415,0,95,yes
jEdit-org-gjt-sp-jedit-gui-DockableWindowManager-DockingLayout.java,4,1,9,22,60,0,88,no
jEdit-org-gjt-sp-jedit-gui-DockableWindowManager-KeyHandler.java,11,0,4,21,54,0,54,no
jEdit-org-gjt-sp-jedit-gui-DockableWindowManagerImpl-Entry.java,42,0,28,773,732,1,86,no
jEdit-org-gjt-sp-jedit-gui-DockableWindowManagerImpl-DockableWindowConfig.java,14,0,4,26,99,1,75,no
jEdit-org-gjt-sp-jedit-gui-DockableWindowManagerImpl-PerspectiveHandler.java,4,0,2,33,28,0,0,yes
jEdit-org-gjt-sp-jedit-gui-DockableWindowManagerImpl-DockableWindowManagerImpl.java,7,0,5,18,38,0,80,no
jEdit-org-gjt-sp-jedit-gui-DockableWindowManagerProvider-DockableWindowManagerProvider.java,7,0,2,15,12,0,0,no
jEdit-org-gjt-sp-jedit-gui-DockingLayoutManager-DockingLayoutManager.java,22,0,18,31,223,0,91,yes
jEdit-org-gjt-sp-jedit-gui-DockingLayoutManager-LoadPerspectiveAction.java,5,0,2,33,13,2,50,no
jEdit-org-gjt-sp-jedit-gui-DynamicContextMenuService-DynamicContextMenuService.java,3,0,1,14,3,0,0,no
jEdit-org-gjt-sp-jedit-gui-EditAbbrevDialog-EditAbbrevDialog.java,19,0,6,756,108,0,66,no
jEdit-org-gjt-sp-jedit-gui-EditAbbrevDialog-ActionHandler.java,7,0,1,14,18,0,0,no
jEdit-org-gjt-sp-jedit-gui-EditAbbrevDialog-KeyHandler.java,2,0,1,18,7,0,0,no
jEdit-org-gjt-sp-jedit-gui-EnhancedButton-EnhancedButton.java,6,0,2,817,64,1,50,no
jEdit-org-gjt-sp-jedit-gui-EnhancedButton-MouseHandler.java,9,0,3,25,32,0,0,no
jEdit-org-gjt-sp-jedit-gui-EnhancedDialog-EnhancedDialog.java,5,20,7,757,129,0,71,no
jEdit-org-gjt-sp-jedit-gui-EnhancedDialog-ContainerHandler.java,4,0,4,20,39,0,0,no
jEdit-org-gjt-sp-jedit-gui-EnhancedDialog-KeyHandler.java,7,0,1,18,46,0,0,no
jEdit-org-gjt-sp-jedit-gui-EnhancedDialog-WindowHandler.java,2,0,1,25,6,0,0,no
jEdit-org-gjt-sp-jedit-gui-ErrorListDialog-ErrorListDialog.java,27,0,3,760,149,1,66,no
jEdit-org-gjt-sp-jedit-gui-ErrorListDialog-ActionHandler.java,6,0,1,14,13,0,0,no
jEdit-org-gjt-sp-jedit-gui-ErrorListDialog-ErrorEntry.java,6,0,4,17,52,0,37,no
jEdit-org-gjt-sp-jedit-gui-ErrorListDialog-JTextPaneSized.java,3,0,1,858,10,0,0,no
jEdit-org-gjt-sp-jedit-gui-ExtendedGridLayout-ExtendedGridLayout.java,21,0,17,30,780,0,75,no
jEdit-org-gjt-sp-jedit-gui-ExtendedGridLayoutConstraints-ExtendedGridLayoutConstraints.java,5,0,19,32,152,0,71,no
jEdit-org-gjt-sp-jedit-gui-FilePropertiesDialog-FilePropertiesDialog.java,33,0,11,768,246,1,79,no
jEdit-org-gjt-sp-jedit-gui-FilePropertiesDialog-ButtonActionHandler.java,3,0,1,14,14,0,0,no
jEdit-org-gjt-sp-jedit-gui-FilesChangedDialog-FilesChangedDialog.java,27,0,6,763,322,1,66,no
jEdit-org-gjt-sp-jedit-gui-FilesChangedDialog-ActionHandler.java,4,0,1,14,14,0,0,no
jEdit-org-gjt-sp-jedit-gui-FilesChangedDialog-Renderer.java,7,0,3,777,28,1,33,no
jEdit-org-gjt-sp-jedit-gui-FilesChangedDialog-TreeHandler.java,9,0,1,14,22,0,0,no
jEdit-org-gjt-sp-jedit-gui-FilteredListModel-FilteredListMode.java,12,1,17,38,153,0,82,no
jEdit-org-gjt-sp-jedit-gui-FilteredTableModel-FilteredTableMode.java,12,1,21,51,147,0,79,yes
jEdit-org-gjt-sp-jedit-gui-FloatingWindowContainer-FloatingWindowContainer.java,21,0,10,734,131,0,78,no
jEdit-org-gjt-sp-jedit-gui-FloatingWindowContainer-MouseHandler.java,9,0,1,23,19,0,0,no
jEdit-org-gjt-sp-jedit-gui-FontSelector-FontSelector.java,7,0,7,815,89,0,42,no
jEdit-org-gjt-sp-jedit-gui-FontSelector-ActionHandler.java,9,0,1,14,27,0,0,no
jEdit-org-gjt-sp-jedit-gui-FontSelectorDialog-ActionHandler.java,32,0,11,768,266,1,84,no
jEdit-org-gjt-sp-jedit-gui-FontSelectorDialog-FontSelectorDialog.java,3,0,1,14,9,0,0,no
jEdit-org-gjt-sp-jedit-gui-FontSelectorDialog-ListHandler.java,6,0,1,14,25,0,0,no
jEdit-org-gjt-sp-jedit-gui-GrabKeyDialog-GrabKeyDialog.java,28,0,10,760,363,0,84,no
jEdit-org-gjt-sp-jedit-gui-GrabKeyDialog-ActionHandler.java,11,0,2,15,84,0,0,no
jEdit-org-gjt-sp-jedit-gui-GrabKeyDialog-InputPane.java,16,0,4,828,81,0,50,no
jEdit-org-gjt-sp-jedit-gui-GrabKeyDialog-KeyBinding.java,1,0,2,15,18,0,37,yes
jEdit-org-gjt-sp-jedit-gui-HistoryModel-HistoryModel.java,6,0,20,74,136,0,83,no
jEdit-org-gjt-sp-jedit-gui-HistoryText-HistoryText.java,14,1,19,32,241,0,71,no
jEdit-org-gjt-sp-jedit-gui-HistoryText-ActionHandler.java,4,0,1,14,22,0,0,no
jEdit-org-gjt-sp-jedit-gui-HistoryTextArea-HistoryTextArea.java,11,0,9,830,109,0,0,yes
jEdit-org-gjt-sp-jedit-gui-HistoryTextField-HistoryTextField.java,14,3,17,841,217,0,72,yes
jEdit-org-gjt-sp-jedit-gui-HistoryTextField-HistoryBorder.java,5,0,2,25,23,0,0,no
jEdit-org-gjt-sp-jedit-gui-HistoryTextField-MouseHandler.java,8,0,4,27,33,0,50,no
jEdit-org-gjt-sp-jedit-gui-InputHandler-InputHandler.java,33,1,14,48,318,1,28,no
jEdit-org-gjt-sp-jedit-gui-JCheckBoxList-JCheckBoxList.java,16,0,10,899,152,0,80,no
jEdit-org-gjt-sp-jedit-gui-JCheckBoxList-DummyRenderer.java,2,0,1,744,9,0,0,no
jEdit-org-gjt-sp-jedit-gui-JCheckBoxList-Entry.java,0,0,4,17,23,0,50,no
jEdit-org-gjt-sp-jedit-gui-JCheckBoxList-LabelRenderer.java,7,0,2,745,21,0,0,no
jEdit-org-gjt-sp-jedit-gui-JEditHistoryModelSaver-JEditHistoryModelSaver.java,27,0,3,16,146,0,55,yes
jEdit-org-gjt-sp-jedit-gui-KeyEventTranslator-KeyEventTranslator.java,18,0,11,24,393,0,82,no
jEdit-org-gjt-sp-jedit-gui-KeyEventTranslator-Key.java,4,0,6,19,52,0,56,no
jEdit-org-gjt-sp-jedit-gui-KeyEventWorkaround-KeyEventWorkaround.java,7,0,6,19,279,0,75,yes
jEdit-org-gjt-sp-jedit-gui-ListModelEditor-ListModelEditor.java,8,0,3,16,91,0,0,no
jEdit-org-gjt-sp-jedit-gui-LogViewer-LogViewer.java,33,0,10,709,445,0,85,no
jEdit-org-gjt-sp-jedit-gui-LogViewer-ActionHandler.java,9,0,1,14,39,0,0,no
jEdit-org-gjt-sp-jedit-gui-LogViewer-ColorizerCellRenderer.java,5,0,1,728,48,0,0,no
jEdit-org-gjt-sp-jedit-gui-LogViewer-ListHandler.java,3,0,3,16,17,0,0,no
jEdit-org-gjt-sp-jedit-gui-LogViewer-LogList.java,7,0,3,774,41,0,33,no
jEdit-org-gjt-sp-jedit-gui-LogViewer-LogSettings.java,6,0,1,751,113,0,100,yes
jEdit-org-gjt-sp-jedit-gui-LogViewer-MyFilteredListModel.java,3,0,3,41,27,1,0,no
jEdit-org-gjt-sp-jedit-gui-MarkerViewer-KeyHandler.java,30,0,11,710,210,0,65,no
jEdit-org-gjt-sp-jedit-gui-MarkerViewer-MarkerViewer.java,4,0,1,18,12,0,0,no
jEdit-org-gjt-sp-jedit-gui-MarkerViewer-MouseHandler.java,4,0,1,23,10,0,0,no
jEdit-org-gjt-sp-jedit-gui-MarkerViewer-Renderer.java,8,0,1,747,24,0,0,no
jEdit-org-gjt-sp-jedit-gui-NumericTextField-NumericTextField.java,6,0,3,827,25,0,33,no
jEdit-org-gjt-sp-jedit-gui-OptionsDialog-OptionsDialog.java,40,2,17,774,532,1,83,no
jEdit-org-gjt-sp-jedit-gui-OptionsDialog-OptionTreeModel.java,7,0,14,27,145,0,71,no
jEdit-org-gjt-sp-jedit-gui-OptionsDialog-PaneNameRenderer.java,8,0,3,777,52,1,33,no
jEdit-org-gjt-sp-jedit-gui-PanelWindowContainer-PanelWindowContainer.java,35,0,17,30,670,0,79,no
jEdit-org-gjt-sp-jedit-gui-PanelWindowContainer-ActionHandler.java,6,0,1,14,16,0,0,no
jEdit-org-gjt-sp-jedit-gui-PanelWindowContainer-ButtonLayout.java,11,0,8,21,147,0,0,no
jEdit-org-gjt-sp-jedit-gui-PanelWindowContainer-DockableWindowCompare.java,4,0,1,14,12,0,0,no
jEdit-org-gjt-sp-jedit-gui-PanelWindowContainer-DockBorder.java,10,0,7,20,102,0,54,no
jEdit-org-gjt-sp-jedit-gui-PanelWindowContainer-MenuMouseHandler.java,11,0,1,23,43,0,0,no
jEdit-org-gjt-sp-jedit-gui-PanelWindowContainer-RotatedTextIcon.java,12,0,4,17,82,0,32,no
jEdit-org-gjt-sp-jedit-gui-PasteSpecialDialog-PasteSpecialDialog.java,29,0,7,764,215,1,64,no
jEdit-org-gjt-sp-jedit-gui-PasteFromListDialog-ActionHandler.java,3,0,1,14,10,0,0,no
jEdit-org-gjt-sp-jedit-gui-PasteFromListDialog-ListHandler.java,2,0,1,14,7,0,0,no
jEdit-org-gjt-sp-jedit-gui-PasteFromListDialog-MouseHandler.java,2,0,1,23,7,0,0,no
jEdit-org-gjt-sp-jedit-gui-PasteFromListDialog-Renderer.java,5,0,3,749,50,0,33,no
jEdit-org-gjt-sp-jedit-gui-PingPongList-ActionHandler.java,5,0,1,14,19,0,0,no
jEdit-org-gjt-sp-jedit-gui-PingPongList-MyListDataListener.java,4,0,4,17,22,0,0,no
jEdit-org-gjt-sp-jedit-gui-PingPongList-MyListMode.java,4,0,8,29,47,0,0,no
jEdit-org-gjt-sp-jedit-gui-PingPongList-MyTransferabl.java,6,0,4,17,23,0,50,no
jEdit-org-gjt-sp-jedit-gui-PingPongList-MyTransferHandler.java,12,0,4,39,81,0,50,no
jEdit-org-gjt-sp-jedit-gui-PingPongList-PingPongLis.java,40,0,9,708,332,0,82,no
jEdit-org-gjt-sp-jedit-gui-RegisterViewer-ClearHandler.java,2,0,1,14,6,0,0,no
jEdit-org-gjt-sp-jedit-gui-RegisterViewer-EscapeHandler.java,6,0,5,18,34,0,0,no
jEdit-org-gjt-sp-jedit-gui-RegisterViewer-FocusHandler.java,5,0,1,14,7,0,0,no
jEdit-org-gjt-sp-jedit-gui-RegisterViewer-InsertHandler.java,4,0,2,15,10,0,0,no
jEdit-org-gjt-sp-jedit-gui-RegisterViewer-ListHandler.java,2,0,1,14,6,0,0,no
jEdit-org-gjt-sp-jedit-gui-RegisterViewer-MouseHandler.java,7,0,1,14,32,0,0,no
jEdit-org-gjt-sp-jedit-gui-RegisterViewer-RegisterViewer.java,10,0,1,23,24,0,0,no
jEdit-org-gjt-sp-jedit-gui-RegisterViewer-Renderer.java,7,0,1,747,41,0,0,no
jEdit-org-gjt-sp-jedit-gui-RegisterViewer-TabHandler.java,3,0,1,14,6,0,0,no
jEdit-org-gjt-sp-jedit-gui-RolloverButton-MouseOverHandler.java,6,6,7,815,70,0,78,no
jEdit-org-gjt-sp-jedit-gui-RolloverButton-RolloverButton.java,4,0,2,24,13,0,0,no
jEdit-org-gjt-sp-jedit-gui-SelectLineRange-SelectLineRange.java,30,0,5,762,117,1,56,no
jEdit-org-gjt-sp-jedit-gui-ShortcutPrefixActiveEvent-ShortcutPrefixActiveEvent.java,5,0,6,23,39,0,61,no
jEdit-org-gjt-sp-jedit-gui-SplashScreen-SplashScreen.java,25,0,7,695,139,0,77,no
jEdit-org-gjt-sp-jedit-gui-StatusBar-StatusBar.java,34,0,15,714,340,0,83,yes
jEdit-org-gjt-sp-jedit-gui-statusbar-BufferSetWidgetFactory-BufferSetWidget.java,3,0,1,14,92,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-BufferSetWidgetFactory-BufferSetWidgetFactory.java,14,0,5,18,84,0,50,no
jEdit-org-gjt-sp-jedit-gui-statusbar-ClockWidgetFactory-Clock.java,3,0,1,14,79,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-ClockWidgetFactory-ClockWidget.java,11,0,8,735,52,0,75,no
jEdit-org-gjt-sp-jedit-gui-statusbar-ClockWidgetFactory-ClockWidgetFactory.java,2,0,4,17,17,0,50,no
jEdit-org-gjt-sp-jedit-gui-statusbar-EncodingWidgetFactory-EncodingWidget.java,3,0,1,14,41,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-EncodingWidgetFactory-EncodingWidgetFactory.java,8,0,4,17,32,0,37,no
jEdit-org-gjt-sp-jedit-gui-statusbar-ErrorsWidgetFactory-ErrorsWidgetFactory.java,4,0,1,14,225,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-ErrorsWidgetFactory-ErrorDialog.java,21,0,5,762,108,1,71,yes
jEdit-org-gjt-sp-jedit-gui-statusbar-ErrorsWidgetFactory-MyActionListener.java,8,0,1,14,28,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-ErrorsWidgetFactory-ErrorHighlight.java,16,0,6,733,84,0,72,no
jEdit-org-gjt-sp-jedit-gui-statusbar-ErrorsWidgetFactory-MyMouseAdapter.java,10,0,2,24,20,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-ErrorsWidgetFactory-ErrorWidget.java,4,0,4,17,21,0,25,no
jEdit-org-gjt-sp-jedit-gui-statusbar-FoldWidgetFactory-FoldWidget.java,3,0,1,14,41,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-FoldWidgetFactory-FoldWidgetFactory.java,9,0,4,17,32,0,37,no
jEdit-org-gjt-sp-jedit-gui-statusbar-IndentWidgetFactory-IndentWidget.java,3,0,1,14,57,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-IndentWidgetFactory-IndentWidgetFactory.java,10,0,4,17,48,0,37,no
jEdit-org-gjt-sp-jedit-gui-statusbar-LastModifiedWidgetFactory-LastModifiedWidget.java,3,0,1,14,94,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-LastModifiedWidgetFactory-LastModifiedWidgetFactory.java,19,0,6,19,86,0,70,no
jEdit-org-gjt-sp-jedit-gui-statusbar-LineSepWidgetFactory-LineSepWidget.java,3,0,1,14,55,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-LineSepWidgetFactory-LineSepWidgetFactory.java,14,0,4,17,46,0,25,no
jEdit-org-gjt-sp-jedit-gui-statusbar-MemoryStatusWidgetFactory-MemoryStatus.java,3,0,1,14,146,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-MemoryStatusWidgetFactory-MemoryStatusWidget.java,24,0,7,695,119,0,77,no
jEdit-org-gjt-sp-jedit-gui-statusbar-MemoryStatusWidgetFactory-MemoryStatusWidgetFactory.java,5,0,1,23,12,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-MemoryStatusWidgetFactory-MouseHandler.java,3,0,4,17,17,0,50,no
jEdit-org-gjt-sp-jedit-gui-statusbar-ModeWidgetFactory-ModeWidget.java,3,0,1,14,41,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-ModeWidgetFactory-ModeWidgetFactory.java,9,0,4,17,32,0,37,no
jEdit-org-gjt-sp-jedit-gui-StatusBar-MouseHandler.java,6,0,1,23,11,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-MultiSelectWidgetFactory-MultiSelectWidget.java,3,0,1,14,61,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-MultiSelectWidgetFactory-MultiSelectWidgetFactory.java,13,0,4,17,52,0,25,no
jEdit-org-gjt-sp-jedit-gui-statusbar-OverwriteWidgetFactory-OverwriteWidget.java,3,0,1,14,61,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-OverwriteWidgetFactory-OverwriteWidgetFactory.java,13,0,4,17,52,0,25,no
jEdit-org-gjt-sp-jedit-gui-statusbar-RectSelectWidgetFactory-RectSelectWidget.java,3,0,1,14,61,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-RectSelectWidgetFactory-RectSelectWidgetFactory.java,13,0,4,17,52,0,25,no
jEdit-org-gjt-sp-jedit-gui-statusbar-SelectionLengthWidgetFactory-SelectionLength.java,3,0,1,14,94,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-SelectionLengthWidgetFactory-SelectionLengthWidget.java,13,0,5,18,86,0,33,no
jEdit-org-gjt-sp-jedit-gui-statusbar-SelectionLengthWidgetFactory-SelectionLengthWidgetFactory.java,4,0,3,730,21,0,33,no
jEdit-org-gjt-sp-jedit-gui-statusbar-TaskMonitorWidgetFactory-TaskMonitorWidget.java,6,0,1,14,91,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-TaskMonitorWidgetFactory-TaskMonitorWidgetFactory.java,6,0,12,739,81,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-ToolTipLabel-ToolTipLabel.java,3,1,1,728,8,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-WrapWidgetFactory-WrapWidget.java,3,0,1,14,72,0,0,no
jEdit-org-gjt-sp-jedit-gui-statusbar-WrapWidgetFactory-WrapWidgetFactory.java,14,0,5,18,63,0,30,no
jEdit-org-gjt-sp-jedit-gui-StyleEditor-StyleEditor.java,28,0,8,765,144,1,69,no
jEdit-org-gjt-sp-jedit-gui-TaskMonitor-TaskMonitor.java,16,0,10,709,208,0,73,yes
jEdit-org-gjt-sp-jedit-gui-TaskMonitor-TaskTableEditor.java,10,0,2,15,40,0,0,no
jEdit-org-gjt-sp-jedit-gui-TaskMonitor-TaskTableEditor.java,7,0,3,26,25,0,50,no
jEdit-org-gjt-sp-jedit-gui-TaskMonitor-TaskTableModel.java,5,0,8,38,55,0,50,no
jEdit-org-gjt-sp-jedit-gui-TextAreaDialog-ActionHandler.java,22,1,7,764,75,1,0,no
jEdit-org-gjt-sp-jedit-gui-TextAreaDialog-TextAreaDialog.java,2,0,1,14,6,0,0,no
jEdit-org-gjt-sp-jedit-gui-TipOfTheDay-ActionHandler.java,29,0,4,761,96,1,70,no
jEdit-org-gjt-sp-jedit-gui-TipOfTheDay-TipOfTheDay.java,6,0,1,14,15,0,0,no
jEdit-org-gjt-sp-jedit-gui-ToolBarManager-Entry.java,7,0,5,18,65,0,50,no
jEdit-org-gjt-sp-jedit-gui-ToolBarManager-ToolBarManager.java,1,0,1,14,9,0,0,no
jEdit-org-gjt-sp-jedit-gui-tray-JEditSwingTrayIcon-JEditSwingTrayIcon.java,16,0,3,57,120,2,66,no
jEdit-org-gjt-sp-jedit-gui-tray-JEditSwingTrayIcon-MyActionListener.java,5,0,2,15,25,0,0,no
jEdit-org-gjt-sp-jedit-gui-tray-JEditSwingTrayIcon-MyMouseAdapter.java,13,0,2,24,50,0,50,no
jEdit-org-gjt-sp-jedit-gui-tray-JEditTrayIcon-JEditTrayIcon.java,2,1,2,54,8,1,0,no
jEdit-org-gjt-sp-jedit-gui-tray-JTrayIcon-JTrayIcon.java,11,1,3,52,76,0,58,no
jEdit-org-gjt-sp-jedit-gui-tray-JTrayIconManager-JTrayIconManager.java,9,0,1,23,12,0,0,no
jEdit-org-gjt-sp-jedit-gui-tray-JTrayIcon-MyMouseListener.java,4,0,3,16,16,0,0,no
