classname,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
jEdit-org-gjt-sp-jedit-browser-BrowserView-TableMouseHandler.java,18,0,3,25,98,0,0,no
jEdit-org-gjt-sp-jedit-browser-DeleteBrowserTask-DeleteBrowserTask.java,10,0,3,33,48,2,0,no
jEdit-org-gjt-sp-jedit-browser-FileCellRenderer-FileCellRenderer.java,22,0,7,750,199,0,82,no
jEdit-org-gjt-sp-jedit-browser-FileCellRenderer-ExpansionToggleBorder.java,7,0,5,18,54,0,68,no
jEdit-org-gjt-sp-jedit-browser-ListDirectoryBrowserTask-ListDirectoryBrowserTask.java,11,0,3,33,53,2,33,no
jEdit-org-gjt-sp-jedit-browser-MkDirBrowserTask-MkDirBrowserTask.java,10,0,3,33,48,2,0,no
jEdit-org-gjt-sp-jedit-browser-RenameBrowserTask-RenameBrowserTask.java,13,0,3,33,71,2,0,no
jEdit-org-gjt-sp-jedit-browser-VFSBrowser-VFSBrowser.java,111,0,61,760,1532,0,94,yes
jEdit-org-gjt-sp-jedit-browser-VFSBrowser-ActionHandler.java,13,0,3,16,64,0,33,no
jEdit-org-gjt-sp-jedit-browser-VFSBrowser-BrowserActionContext.java,14,0,1,23,38,2,0,no
jEdit-org-gjt-sp-jedit-browser-VFSBrowser-CommandsMenuButton.java,4,0,2,822,13,2,0,yes
jEdit-org-gjt-sp-jedit-browser-VFSBrowser-DelayedEndRequest.java,2,0,1,14,7,0,0,no
jEdit-org-gjt-sp-jedit-browser-VFSBrowser-DirectoriesOnlyFilter.java,4,0,3,16,18,0,0,no
jEdit-org-gjt-sp-jedit-browser-VFSBrowser-FavoritesMenuButton.java,14,0,3,823,106,2,0,yes
jEdit-org-gjt-sp-jedit-browser-VFSBrowser-HistoryComboBoxEditor.java,6,0,5,846,67,1,60,no
jEdit-org-gjt-sp-jedit-browser-VFSBrowser-MenuButton.java,8,3,5,820,42,1,100,yes
jEdit-org-gjt-sp-jedit-browser-VFSBrowser-MouseHandler.java,4,0,1,23,14,0,0,yes
jEdit-org-gjt-sp-jedit-browser-VFSBrowser-VFSFileFilterRenderer.java,3,0,1,747,13,0,0,no
jEdit-org-gjt-sp-jedit-browser-VFSDirectoryEntryTable-VFSDirectoryEntryTable.java,47,0,15,904,509,0,87,no
jEdit-org-gjt-sp-jedit-browser-VFSDirectoryEntryTable-ClearTypeSelect.java,3,0,1,14,6,0,0,no
jEdit-org-gjt-sp-jedit-browser-VFSDirectoryEntryTable-ColumnHandler.java,4,0,5,18,10,0,0,no
jEdit-org-gjt-sp-jedit-browser-VFSDirectoryEntryTable-HeaderRenderer.java,5,0,2,745,19,0,0,no
jEdit-org-gjt-sp-jedit-browser-VFSDirectoryEntryTable-MainMouseHandler.java,12,0,1,24,15,0,0,no
jEdit-org-gjt-sp-jedit-browser-VFSDirectoryEntryTable-MouseHandler.java,10,0,1,24,21,0,0,no
jEdit-org-gjt-sp-jedit-browser-VFSDirectoryEntryTableModel-VFSDirectoryEntryTableModel.java,15,0,19,49,278,0,69,no
jEdit-org-gjt-sp-jedit-browser-VFSDirectoryEntryTableModel-Entry.java,3,0,2,15,18,0,60,no
jEdit-org-gjt-sp-jedit-browser-VFSDirectoryEntryTableModel-EntryCompare.java,9,0,2,15,51,0,0,no
jEdit-org-gjt-sp-jedit-browser-VFSDirectoryEntryTableModel-ExtendedAttribute.java,1,0,1,14,9,0,0,no
jEdit-org-gjt-sp-jedit-browser-VFSFileChooserDialog-VFSFileChooserDialog.java,37,0,14,771,452,1,83,yes
jEdit-org-gjt-sp-jedit-browser-VFSFileChooserDialog-ActionHandler.java,3,0,1,14,9,0,0,no
jEdit-org-gjt-sp-jedit-browser-VFSFileChooserDialog-BrowserHandler.java,12,0,2,15,76,0,0,yes
jEdit-org-gjt-sp-jedit-browser-VFSFileChooserDialog-GetFileTypeRequest.java,6,0,2,15,47,0,0,yes
jEdit-org-gjt-sp-jedit-browser-VFSFileNameField-VFSFileNameField.java,18,0,5,846,206,1,0,yes
jEdit-org-gjt-sp-jedit-bsh-BlockNameSpace-BlockNameSpace.java,6,0,10,97,53,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHAllocationExpression-BSHAllocationExpression.java,26,0,10,41,190,1,90,no
jEdit-org-gjt-sp-jedit-bsh-BSHAmbiguousName-BSHAmbiguousName.java,12,0,8,39,56,1,75,no
jEdit-org-gjt-sp-jedit-bsh-BSHArguments-BSHArguments.java,4,0,2,33,17,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHArrayDimensions-BSHArrayDimensions.java,9,0,5,36,66,1,65,no
jEdit-org-gjt-sp-jedit-bsh-BSHArrayInitializer-BSHArrayInitializer.java,12,0,4,35,74,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHAssignment-BSHAssignment.java,12,0,3,34,107,1,66,no
jEdit-org-gjt-sp-jedit-bsh-BSHBinaryExpression-BSHBinaryExpression.java,12,0,4,35,88,1,75,no
