Kind,Name,CBO,NOC,SLOC,LCOM,DIT,RFC,WMC,CHANGE
Class,net.sourceforge.subsonic.service.upnp.ClingRouter.findConnectionService.ConnectionServiceDiscoverer,1,0,9,0,1,15,2,no
Public Class,net.sourceforge.subsonic.service.upnp.FolderBasedContentDirectory,21,0,192,81,2,39,18,no
Public Class,net.sourceforge.subsonic.service.upnp.MSMediaReceiverRegistrarService,0,0,2,0,1,13,0,no
Public Class,net.sourceforge.subsonic.service.upnp.NATPMPRouter,1,0,26,25,0,17,4,no
Public Abstract Class,net.sourceforge.subsonic.service.upnp.SubsonicContentDirectory,11,1,72,81,1,21,8,no
Public Class,net.sourceforge.subsonic.service.UPnPService,16,0,114,78,0,23,10,no
Public Class,net.sourceforge.subsonic.service.VersionService,17,0,132,85,0,24,11,no
Public Class,net.sourceforge.subsonic.taglib.EscapeJavaScriptTag,2,0,23,19,1,18,5,no
Public Class,net.sourceforge.subsonic.taglib.FormatBytesTag,4,0,26,19,1,18,5,no
Public Class,net.sourceforge.subsonic.taglib.ParamTag,3,0,29,33,1,19,6,no
Public Class,net.sourceforge.subsonic.taglib.UrlTag,13,0,122,76,1,27,14,no
Private Static Class,net.sourceforge.subsonic.taglib.UrlTag.Parameter,1,0,14,33,0,16,3,no
Public Class,net.sourceforge.subsonic.taglib.WikiTag,2,0,30,60,1,18,5,no
Public Class,net.sourceforge.subsonic.theme.SubsonicThemeResolver,8,0,48,66,0,19,6,no
Public Class,net.sourceforge.subsonic.theme.SubsonicThemeSource,4,0,24,33,1,16,3,no
Public Class,net.sourceforge.subsonic.upload.MonitoredDiskFileItem,6,0,18,25,1,15,2,no
Public Class,net.sourceforge.subsonic.upload.MonitoredDiskFileItemFactory,4,0,14,0,1,16,3,no
Public Class,net.sourceforge.subsonic.upload.MonitoredOutputStream,2,0,26,16,0,25,6,no
Public Generic Class,net.sourceforge.subsonic.util.BoundedList,0,1,21,50,0,118,4,no
Public Class,net.sourceforge.subsonic.util.FileUtil,9,0,107,81,0,24,11,yes
Private Static Abstract Generic Class,net.sourceforge.subsonic.util.FileUtil.FileTask,3,7,13,33,0,16,3,no
Public Class,net.sourceforge.subsonic.util.HttpRange,6,0,53,45,0,21,8,no
Public Class,net.sourceforge.subsonic.util.HttpRangeTestCase,3,0,48,0,1,17,4,no
Public Generic Class,net.sourceforge.subsonic.util.Pair,1,1,32,33,0,19,6,no
Public Class,net.sourceforge.subsonic.util.StringUtil,28,0,270,93,0,35,22,yes
Public Class,net.sourceforge.subsonic.util.StringUtilTestCase,6,0,174,0,1,32,19,yes
Public Class,net.sourceforge.subsonic.util.URLBuilder,4,0,51,77,0,25,12,no
Public Class,net.sourceforge.subsonic.util.Util,17,0,117,93,0,28,15,no
Public Class,net.sourceforge.subsonic.validator.PasswordSettingsValidator,3,0,13,0,0,15,2,no
Public Class,net.sourceforge.subsonic.validator.UserSettingsValidator,5,0,42,50,0,17,4,no
Public Class,org.json.CDL,6,0,146,0,0,23,10,no
Public Class,org.json.Cookie,7,0,85,0,0,17,4,no
Public Class,org.json.CookieList,7,0,32,0,0,15,2,no
Public Class,org.json.HTTP,7,0,62,50,0,15,2,no
Public Class,org.json.HTTPTokener,4,0,33,0,1,33,2,no
Public Class,org.json.JSONArray,19,0,365,77,0,62,49,no
Public Class,org.json.JSONException,1,0,14,66,0,47,3,no
Public Class,org.json.JSONML,10,0,295,0,0,20,7,no
Public Class,org.json.JSONObject,34,0,809,87,0,76,63,no
Private Static Class,org.json.JSONObject.Null,1,0,11,0,0,16,3,no
Public Class,org.json.JSONStringer,2,0,8,0,1,29,2,no
Public Class,org.json.JSONTokener,12,2,250,78,0,31,18,no
Public Class,org.json.JSONWriter,8,1,134,66,0,27,14,no
Public Class,org.json.XML,15,0,320,90,0,20,7,no
Public Class,org.json.XMLTokener,7,0,239,85,1,38,7,no
