Kind,Name,CBO,NOC,SLOC,LCOM,DIT,RFC,WMC,CHANGE
Public Class,net.sourceforge.subsonic.controller.HomeController,23,0,249,84,1,31,18,yes
Public Static Class,net.sourceforge.subsonic.controller.HomeController.Album,3,0,72,90,0,33,20,no
Public Class,net.sourceforge.subsonic.controller.ImportPlaylistController,10,0,41,44,1,16,3,no
Public Class,net.sourceforge.subsonic.controller.InternetRadioSettingsController,10,0,63,40,1,18,5,no
Public Class,net.sourceforge.subsonic.controller.JAXBWriter,17,0,98,75,0,22,9,no
Public Class,net.sourceforge.subsonic.controller.LeftController,26,0,103,66,1,21,8,yes
Public Class,net.sourceforge.subsonic.controller.LyricsController,4,0,10,0,1,14,1,no
Public Class,net.sourceforge.subsonic.controller.M3UController,15,0,66,71,0,20,7,yes
Public Class,net.sourceforge.subsonic.controller.MainController,30,0,203,80,1,29,16,yes
Public Class,net.sourceforge.subsonic.controller.MoreController,15,0,45,60,1,18,5,yes
Public Class,net.sourceforge.subsonic.controller.MultiController,17,0,166,75,1,27,14,yes
Public Class,net.sourceforge.subsonic.controller.MusicFolderSettingsController,14,0,76,73,1,22,9,yes
Public Class,net.sourceforge.subsonic.controller.NetworkSettingsController,8,0,32,37,1,17,4,yes
Public Class,net.sourceforge.subsonic.controller.NowPlayingController,9,0,28,50,1,17,4,no
Public Class,net.sourceforge.subsonic.controller.PasswordSettingsController,4,0,22,0,1,16,3,no
Public Class,net.sourceforge.subsonic.controller.PersonalSettingsController,13,0,116,64,1,20,7,yes
Public Class,net.sourceforge.subsonic.controller.PlayerSettingsController,15,0,85,47,1,20,7,no
Public Class,net.sourceforge.subsonic.controller.PlaylistController,13,0,39,60,1,18,5,no
Public Class,net.sourceforge.subsonic.controller.PlaylistsController,9,0,20,33,1,16,3,no
Public Class,net.sourceforge.subsonic.controller.PlayQueueController,11,0,31,50,1,17,4,no
Public Class,net.sourceforge.subsonic.controller.PodcastController,16,0,78,56,1,17,4,yes
Public Static Class,net.sourceforge.subsonic.controller.PodcastController.Podcast,1,0,29,66,0,19,6,no
Public Class,net.sourceforge.subsonic.controller.PodcastReceiverAdminController,12,0,56,25,1,17,4,yes
Public Class,net.sourceforge.subsonic.controller.PodcastSettingsController,6,0,28,37,1,17,4,no
Public Class,net.sourceforge.subsonic.controller.ProxyController,3,0,23,0,0,14,1,no
Public Class,net.sourceforge.subsonic.controller.RandomPlayQueueController,13,0,58,71,1,20,7,no
Public Class,net.sourceforge.subsonic.controller.ReloadFrame,1,0,21,50,0,19,6,no
Public Class,net.sourceforge.subsonic.controller.RESTController,90,0,1930,92,1,130,117,yes
Private Static Class,net.sourceforge.subsonic.controller.RESTController.BookmarkKey,2,0,7,0,1,21,2,no
Public Class,net.sourceforge.subsonic.controller.RightController,9,0,33,50,1,17,4,no
Public Class,net.sourceforge.subsonic.controller.SearchController,14,0,47,70,1,19,6,no
Public Class,net.sourceforge.subsonic.controller.SetMusicFileInfoController,5,0,17,0,1,15,2,no
Public Class,net.sourceforge.subsonic.controller.SetRatingController,7,0,25,50,1,17,4,no
Public Class,net.sourceforge.subsonic.controller.SettingsController,4,0,11,0,1,15,2,no
Public Class,net.sourceforge.subsonic.controller.ShareManagementController,19,0,78,74,1,22,9,no
Public Class,net.sourceforge.subsonic.controller.ShareSettingsController,18,0,93,70,1,23,10,yes
Public Static Class,net.sourceforge.subsonic.controller.ShareSettingsController.ShareInfo,2,0,14,33,0,16,3,no
Public Class,net.sourceforge.subsonic.controller.SonosSettingsController,7,0,38,50,1,18,5,no
Public Class,net.sourceforge.subsonic.controller.StarredController,17,0,52,66,1,19,6,no
Public Class,net.sourceforge.subsonic.controller.StatusChartController,18,0,78,33,1,18,2,no
Public Class,net.sourceforge.subsonic.controller.StatusController,11,0,79,0,1,15,2,no
Public Static Class,net.sourceforge.subsonic.controller.StatusController.TransferStatusHolder,6,0,46,73,0,23,10,no
Public Class,net.sourceforge.subsonic.controller.StreamController,39,0,297,88,0,33,20,yes
