Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,change
com.logicaldoc.core.document.Version,17,0,25,184,173,94,3,no
com.logicaldoc.core.EmailDummy,15,0,2,15,35,0,0,yes
com.logicaldoc.core.folder.Folder,9,0,45,82,185,95,2,yes
com.logicaldoc.core.folder.FolderGroup,5,0,39,52,185,91,0,yes
com.logicaldoc.core.folder.FolderHistory,2,0,1,69,24,0,2,no
com.logicaldoc.core.folder.HibernateFolderDAO,50,0,66,122,1237,93,1,yes
com.logicaldoc.core.folder.HibernateFolderDAOTest,32,0,46,65,700,77,1,yes
com.logicaldoc.core.folder.HibernateFolderHistoryDAO,17,0,10,66,76,80,1,no
com.logicaldoc.core.folder.HibernateFolderHistoryDAOTest,14,0,10,29,144,0,1,no
com.logicaldoc.core.generic.Generic,5,0,32,69,123,91,2,no
com.logicaldoc.core.generic.HibernateGenericDAO,15,0,6,62,68,0,1,no
com.logicaldoc.core.generic.HibernateGenericDAOTest,10,0,7,26,59,0,1,no
com.logicaldoc.core.HibernatePersistentObjectDAO,19,24,43,56,319,78,0,yes
com.logicaldoc.core.i18n.DateBean,6,0,5,66,43,100,0,no
com.logicaldoc.core.i18n.Language,15,0,16,29,143,81,0,yes
com.logicaldoc.core.i18n.LanguageManager,16,0,8,21,73,75,0,no
com.logicaldoc.core.i18n.LanguageTest,4,0,1,14,8,0,0,no
com.logicaldoc.core.lock.LockManager,12,0,5,18,66,50,0,yes
com.logicaldoc.core.lock.LockManagerTest,7,0,2,21,26,0,1,yes
com.logicaldoc.core.metadata.Attribute,11,0,26,39,158,89,0,no
com.logicaldoc.core.metadata.AttributeOption,3,0,13,39,49,78,1,no
com.logicaldoc.core.metadata.AttributeSet,1,0,8,45,30,80,2,no
com.logicaldoc.core.metadata.ExtensibleObject,7,5,11,37,89,9,1,no
com.logicaldoc.core.metadata.HibernateAttributeOptionDAO,12,0,6,62,73,0,1,no
com.logicaldoc.core.metadata.HibernateAttributeOptionDAOTest,5,0,4,23,41,0,1,no
com.logicaldoc.core.metadata.HibernateAttributeSetDAO,18,0,10,66,98,70,1,yes
com.logicaldoc.core.metadata.HibernateAttributeSetDAOTest,9,0,6,25,52,0,1,yes
com.logicaldoc.core.metadata.HibernateTemplateDAO,9,0,8,64,54,0,1,no
com.logicaldoc.core.metadata.HibernateTemplateDAOTest,10,0,6,25,62,41,1,no
com.logicaldoc.core.metadata.Template,1,0,8,45,30,80,2,no
com.logicaldoc.core.parser.AbiWordParser,12,0,1,31,49,0,1,no
com.logicaldoc.core.parser.AbiWordParser.AbiWordContentHandler,4,0,5,36,30,30,0,no
com.logicaldoc.core.parser.AbstractParser,23,14,17,30,124,88,0,no
com.logicaldoc.core.parser.AbstractParser.InternalParseTask,5,0,2,15,14,0,0,no
com.logicaldoc.core.parser.DOCParser,11,0,1,33,26,0,2,no
com.logicaldoc.core.parser.DummyParser,2,0,1,31,4,0,1,no
com.logicaldoc.core.parser.ExtractorHandler,8,0,6,37,42,72,0,no
com.logicaldoc.core.parser.HTMLParser,22,0,3,33,59,33,1,yes
com.logicaldoc.core.parser.HTMLSAXParser,2,0,5,18,30,40,1,no
com.logicaldoc.core.parser.KOfficeParser,15,0,1,31,55,0,1,no
com.logicaldoc.core.parser.KOfficeParser.KOfficeContentHandler,4,0,5,36,26,30,0,no
com.logicaldoc.core.parser.OpenOfficeParser,17,0,1,31,69,0,1,no
