CBO,SLOC,LCOM,WMC,Output
2,60,47,2,Balance
1,56,90,17,Balance
2,15,33,3,Balance
13,1553,85,229,Balance
1,12,0,2,Balance
15,299,84,59,Balance
17,128,78,24,Gmean1
14,80,42,10,Fmes
27,504,89,105,Precision
2,75,57,15,Balance
13,171,50,22,Fmes
14,171,72,33,Precision
13,445,83,84,Balance
19,457,78,94,Balance
30,583,61,140,Balance
15,147,72,23,Gmean1
0,117,19,27,Balance
5,183,67,39,Fmes
8,123,40,29,Balance
8,70,41,8,Balance
31,479,83,82,Balance
0,56,0,13,Balance
0,69,18,13,Balance
22,416,56,89,Precision
4,79,53,18,Balance
4,39,93,14,Balance
6,159,50,14,Balance
0,50,60,10,Balance
2,207,49,25,Balance
22,436,78,43,Gmean1
13,241,66,70,Gmean1
4,87,33,17,Fmes
3,78,51,15,Balance
5,416,71,59,Balance
3,67,60,11,Balance
8,189,72,30,Balance
4,126,55,16,Balance
8,239,79,39,Balance
3,59,40,11,Balance
21,539,69,71,Balance
6,50,95,14,Fmes
3,43,0,11,Fmes
7,39,40,7,Balance
4,76,0,26,Fmes
0,62,45,11,Balance
1,6,0,1,Balance
2,121,77,19,Fmes
2,114,50,40,Balance
14,319,83,41,Balance
13,44,91,6,Fmes
98,2456,95,466,Balance
22,526,77,106,Precision
0,5,0,1,Balance
3,45,50,9,Balance
11,212,79,26,Balance
2,46,0,4,Balance
54,2079,93,430,Fmes
7,236,0,57,Balance
21,374,56,58,Balance
22,343,78,55,Balance
2,39,28,9,Balance
25,352,78,62,Balance
16,234,65,36,Balance
4,54,19,14,Gmean1
10,102,58,18,Balance
9,237,73,42,Balance
3,30,42,7,Balance
13,147,85,32,Balance
1,78,22,12,Balance
13,103,83,15,Fmes
8,107,37,18,Balance
1,87,83,21,Fmes
8,190,75,31,Balance
3,34,44,4,Balance
6,521,75,36,Balance
2,63,0,18,Balance
9,118,63,4,Gmean1
5,16,0,5,Balance
2,15,0,1,Balance
7,93,47,9,Balance
12,211,38,20,Balance
1,21,50,4,Balance
6,103,61,14,Balance
1,38,0,9,Balance
2,233,84,45,Balance
1,6,0,1,Balance
1,6,0,1,Balance
1,148,86,31,Balance
2,23,60,5,Balance
6,42,44,6,Balance
2,8,0,1,Balance
9,147,53,20,Balance
10,187,73,33,Gmean1
8,505,85,60,Gmean1
25,465,71,116,Balance
17,164,46,25,Balance
3,118,79,20,Balance
29,365,75,66,Gmean1
23,695,97,133,Balance
4,24,0,6,Fmes
13,212,58,54,Balance
0,42,0,11,Balance
0,70,59,14,Balance
15,270,68,38,Gmean1
1,66,28,13,Balance
3,105,18,15,Balance
4,52,87,16,Balance
0,21,41,3,Balance
3,501,75,50,Fmes
1,141,14,30,Balance
21,487,77,54,Balance
0,69,9,12,Balance
9,159,71,39,Gmean1
4,35,53,7,Balance
4,52,44,7,Balance
4,135,61,24,Balance
0,44,44,8,Balance
2,17,33,3,Balance
6,62,19,11,Balance
3,72,54,13,Balance
2,50,50,8,Balance
8,193,70,30,Balance
8,128,40,19,Fmes
10,390,36,37,Fmes
5,20,85,7,Balance
20,423,76,58,Gmean1
9,52,87,19,Balance
15,825,79,88,Balance
5,45,75,8,Fmes
6,103,50,26,Balance
1,141,86,39,Balance
1,278,84,69,Balance
15,763,88,79,Balance
14,153,62,22,Fmes
17,174,75,30,Balance
20,188,79,35,Gmean1
18,218,68,38,Gmean1
18,332,90,56,Balance
26,554,86,80,Balance
22,210,82,36,Balance
39,975,90,228,Fmes
0,73,0,19,Balance
3,163,77,30,Fmes
9,282,74,60,Gmes
11,154,43,30,Gmes
13,158,35,28,Fmes
0,102,78,21,Gmean1
2,484,77,86,Gmean2
8,65,0,12,Gmean1
3,21,0,5,Fmes
21,271,75,48,Gmean1
6,46,0,11,Balance
2,227,89,30,Balance
0,107,13,24,Balance
16,1225,79,209,Balance
7,187,18,22,Balance
22,428,78,42,Precision
16,106,83,15,Gmean1
4,74,44,14,Fmes
8,199,72,34,Balance
4,58,0,12,Balance
4,90,55,17,Balance
6,89,20,16,Balance
3,77,51,15,Balance
3,85,59,17,Balance
0,38,0,8,Balance
2,63,0,10,Balance
5,128,60,21,Balance
2,114,41,28,Balance
5,22,60,5,Balance
33,442,88,83,Balance
0,31,60,5,Balance
2,65,72,10,Balance
8,208,90,25,Balance
2,654,78,173,Balance
1,124,61,17,Balance
8,108,50,14,Balance
